step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,250.0,0.0,0,1,,0.1
5000,0.0,0.0,250.0,0.029479999999999996,21,20,2.9953303055663127e-06,0.08659643233600654
10000,0.0,0.0,250.0,0.02246,41,24,1.5110878166524344e-06,0.07498942093324559
15000,0.0,0.0,250.0,0.11914,63,24,2.002220526264864e-06,0.06493816315762113
20000,0.0,0.0,250.0,0.011659999999999998,84,24,3.2284213375533e-05,0.05623413251903491
25000,0.0,0.0,250.0,0.05406,104,24,8.984060514194425e-06,0.04869675251658631
30000,0.0,0.0,250.0,0.16126000000000001,128,24,2.2197458747541532e-05,0.042169650342858224
35000,0.0,0.0,250.0,0.03664,148,24,0.00016676884843036532,0.036517412725483776
40000,0.0,0.0,250.0,0.20163999999999999,172,24,4.5941291318740696e-05,0.0316227766016838
45000,0.0,0.0,250.0,0.28818,199,24,1.76386020029895e-05,0.027384196342643614
50000,0.9748,0.0,7.0,0.6675400000000001,240,24,2.1608271708828397e-05,0.023713737056616554
55000,0.9748,0.0,7.0,0.8457399999999999,325,24,0.00022498707403428853,0.020535250264571463
60000,0.0,0.0,250.0,0.7664,463,24,0.00035439152270555496,0.01778279410038923
65000,0.0,0.0,250.0,0.43716,502,24,0.0017048483714461327,0.01539926526059492
70000,0.0,0.0,250.0,0.49976000000000004,537,24,0.0006369976908899844,0.01333521432163324
75000,0.0,0.0,250.0,0.020299999999999995,557,24,0.00021551443205680698,0.011547819846894583
80000,0.0,0.0,250.0,0.0,577,24,0.00012010531645501032,0.010000000000000002
85000,0.0,0.0,250.0,0.0,597,24,1.4306486264104024e-05,0.008659643233600654
90000,0.0,0.0,250.0,0.0,617,24,1.0325476978323422e-05,0.007498942093324558
95000,0.0,0.0,250.0,0.0,637,24,2.6197150873485953e-05,0.006493816315762114
100000,0.0,0.0,250.0,0.0,657,24,1.4143116459308658e-05,0.005623413251903492
105000,0.0,0.0,250.0,0.0,677,24,1.620347029529512e-05,0.004869675251658632
110000,0.0,0.0,250.0,0.0,697,24,1.1205459486518521e-05,0.004216965034285823
115000,0.0,0.0,250.0,0.006259999999999999,717,24,6.535927241202444e-06,0.003651741272548377
120000,0.0,0.0,250.0,0.11612,739,24,7.779262887197547e-06,0.0031622776601683794
125000,0.0,0.0,250.0,0.1713,762,24,1.145545411418425e-05,0.0027384196342643617
130000,0.0,0.0,250.0,0.91612,884,24,1.913044798129704e-05,0.0023713737056616554
135000,0.9748,0.0,7.0,0.9722799999999998,1384,24,2.5155593903036788e-05,0.002053525026457146
140000,0.0,0.0,250.0,0.50002,1693,24,0.00013538070197682828,0.001778279410038923
145000,0.0,0.0,250.0,0.9310599999999999,1830,24,2.7598709493759088e-05,0.001539926526059492
150000,0.0,0.0,250.0,0.73246,1905,24,2.8879458113806322e-05,0.001333521432163324
155000,0.0,0.0,250.0,0.9423999999999999,2001,24,0.00012121968029532582,0.0011547819846894581
160000,0.9748,0.0,7.0,0.9747999999999998,2572,24,1.1114027984149288e-05,0.001
165000,0.0,0.0,250.0,0.9747999999999998,3205,24,0.00021637837926391512,0.001
170000,0.9748,0.0,7.0,0.9677799999999996,3810,24,2.3570908524561673e-05,0.001
175000,0.0,0.0,250.0,0.9441999999999998,4347,24,3.7680492823710665e-05,0.001
180000,0.0,0.0,250.0,0.96688,4760,24,4.09856547776144e-05,0.001
185000,0.0,0.0,250.0,0.9573399999999997,5313,24,1.550920569570735e-05,0.001
190000,0.0,0.0,250.0,0.9742599999999998,5920,24,0.0005041094264015555,0.001
195000,0.9748,0.0,7.0,0.9744399999999998,6566,24,1.1241870197409298e-05,0.001
200000,0.9748,0.0,7.0,0.9731799999999999,7119,24,4.619174433173612e-06,0.001
205000,0.9748,0.0,7.0,0.9639999999999999,7663,24,2.0478024453041144e-05,0.001
210000,0.9748,0.0,7.0,0.9701199999999999,8304,24,3.3215277653653175e-05,0.001
215000,0.9748,0.0,7.0,0.9747999999999998,8979,24,3.4965312806889415e-05,0.001
220000,0.9748,0.0,7.0,0.9686799999999998,9619,24,3.5330372156749945e-06,0.001
225000,0.9748,0.0,7.0,0.9704799999999997,10282,24,1.562974830449093e-05,0.001
230000,0.9748,0.0,7.0,0.9746199999999996,10904,24,5.01513522976893e-06,0.001
235000,0.0,0.0,250.0,0.9603999999999999,11571,24,4.631556657841429e-05,0.001
240000,0.9748,0.0,7.0,0.9623799999999998,12010,24,1.1622332749539055e-05,0.001
245000,0.9748,0.0,7.0,0.9746199999999996,12671,24,4.636505309463246e-06,0.001
250000,0.0,0.0,250.0,0.95932,13262,24,9.210458301822655e-06,0.001
255000,0.9748,0.0,7.0,0.9672399999999998,13920,24,6.639351795456605e-06,0.001
260000,0.9748,0.0,7.0,0.9744399999999998,14581,24,5.917155704082688e-06,0.001
265000,0.9748,0.0,7.0,0.9722799999999998,15270,24,5.497550228028558e-05,0.001
270000,0.9748,0.0,7.0,0.9631000000000002,15952,24,6.008453965478111e-06,0.001
275000,0.9748,0.0,7.0,0.9735399999999998,16644,24,8.802009688224643e-06,0.001
280000,0.9748,0.0,7.0,0.9724599999999999,17251,24,2.5564133920852328e-06,0.001
285000,0.9748,0.0,7.0,0.9747999999999998,17942,24,1.809420837162179e-06,0.001
290000,0.9748,0.0,7.0,0.9746199999999996,18639,24,3.8041844163672067e-06,0.001
295000,0.9748,0.0,7.0,0.9747999999999998,19341,24,1.948494485759511e-07,0.001
300000,0.9748,0.0,7.0,0.9747999999999998,20040,24,3.598118780701043e-07,0.001
305000,0.9748,0.0,7.0,0.9747999999999998,20674,24,7.525830369559117e-06,0.001
310000,0.9748,0.0,7.0,0.9747999999999998,21386,24,1.87778755389445e-06,0.001
315000,0.9748,0.0,7.0,0.9747999999999998,22027,24,8.26781615614891e-06,0.001
320000,0.9748,0.0,7.0,0.9747999999999998,22722,24,2.2480990082840435e-05,0.001
325000,0.9748,0.0,7.0,0.9746199999999996,23411,24,1.0441328413435258e-05,0.001
