step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,250.0,0.0,0,1,
5000,0.0,0.0,250.0,0.0,20,8,0.00012617676111403853
10000,0.0,0.0,250.0,0.02984,40,20,3.321429176139645e-05
15000,0.0,0.0,250.0,0.0,60,20,2.0123421563766897e-05
20000,0.0,0.0,250.0,0.049780000000000005,81,24,1.298686311201891e-05
25000,0.0,0.0,250.0,0.06706,102,24,1.290751129090495e-06
30000,0.0,0.0,250.0,0.03488,123,24,7.83960786066018e-06
35000,0.0,0.0,250.0,0.0,143,24,3.5092766665911768e-06
40000,0.0,0.0,250.0,0.0,163,24,1.100055783354037e-06
45000,0.0,0.0,250.0,0.0,183,24,7.00519080965023e-07
50000,0.0,0.0,250.0,0.0,203,24,1.1695921386944974e-07
55000,0.0,0.0,250.0,0.0,223,24,7.136969202292676e-07
60000,0.0,0.0,250.0,0.0,243,24,1.4589659258490428e-06
65000,0.0,0.0,250.0,0.0,263,24,3.145385107927723e-07
70000,0.0,0.0,250.0,0.0365,284,24,4.033426648675231e-06
75000,0.0,0.0,250.0,0.04208,304,24,1.021463958750246e-06
80000,0.0,0.0,250.0,0.35603999999999997,332,24,1.7686429600871634e-06
85000,0.0,0.0,250.0,0.15708000000000003,356,24,6.695508091070224e-06
90000,0.0,0.0,250.0,0.0514,377,24,5.504465661942959e-06
95000,0.0,0.0,250.0,0.038079999999999996,398,24,8.2724791354849e-06
100000,0.0,0.0,250.0,0.0,418,24,1.6277770555461757e-05
105000,0.0,0.0,250.0,0.23328000000000002,442,24,2.3277354557649232e-05
110000,0.0,0.0,250.0,0.0,462,24,2.3498450900660828e-05
115000,0.0,0.0,250.0,0.53674,500,24,1.5470486687263474e-05
120000,0.0,0.0,250.0,0.6506000000000001,546,24,3.0152568797348067e-06
125000,0.0,0.0,250.0,0.57702,599,24,1.899302878882736e-05
130000,0.0,0.0,250.0,0.52486,633,24,0.0001939884969033301
135000,0.0,0.0,250.0,0.0,653,24,0.00037045430508442223
140000,0.0,0.0,250.0,0.0,673,24,0.0014744061045348644
145000,0.0,0.0,250.0,0.0,693,24,0.0008727810345590115
150000,0.0,0.0,250.0,0.0,713,24,0.002805438358336687
155000,0.0,0.0,250.0,0.0,733,24,0.0024430956691503525
160000,0.0,0.0,250.0,0.0,753,24,0.00026512035401538014
165000,0.0,0.0,250.0,0.0,773,24,0.00035541827674023807
170000,0.0,0.0,250.0,0.0,793,24,0.0011946316808462143
175000,0.0,0.0,250.0,0.0,813,24,0.0004009193798992783
180000,0.0,0.0,250.0,0.0,833,24,0.0004643531865440309
185000,0.0,0.0,250.0,0.0,853,24,0.0002787955745588988
190000,0.0,0.0,250.0,0.0,873,24,6.68078864691779e-05
195000,0.0,0.0,250.0,0.0,893,24,0.00012304121628403664
200000,0.0,0.0,250.0,0.0,913,24,1.834101385611575e-05
205000,0.0,0.0,250.0,0.0,933,24,7.477647886844352e-05
210000,0.0,0.0,250.0,0.0,953,24,0.000141450873343274
215000,0.0,0.0,250.0,0.0,973,24,3.886603735736571e-05
220000,0.0,0.0,250.0,0.0,993,24,2.43774957198184e-05
225000,0.0,0.0,250.0,0.0,1013,24,9.043496902449988e-06
230000,0.0,0.0,250.0,0.0,1033,24,3.6071025988348993e-06
235000,0.0,0.0,250.0,0.0,1053,24,2.694393060664879e-06
240000,0.0,0.0,250.0,0.0,1073,24,1.3172818398743402e-05
245000,0.0,0.0,250.0,0.0,1093,24,2.782534920697799e-06
250000,0.0,0.0,250.0,0.0,1113,24,1.8663729406398488e-06
255000,0.0,0.0,250.0,0.0,1133,24,7.368339993263362e-06
260000,0.0,0.0,250.0,0.0,1153,24,1.3755879990640096e-06
265000,0.0,0.0,250.0,0.0,1173,24,2.529676521589863e-06
