step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,640.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,640.0,0.0,7,38,2.111233470714069e-06,0.05,0.0010675071146814613,36.0
10000,0.0,0.0,640.0,0.0,15,45,4.556618478090968e-07,0.05,0.0005936827196017986,79.0
15000,0.0,0.0,640.0,0.0,23,47,1.8568468931334792e-06,0.05,0.0007610882197316094,113.0
20000,0.0,0.0,640.0,0.0,31,48,1.7366384099659626e-06,0.05,0.0006697141891955924,123.0
25000,0.0,0.0,640.0,0.0,39,48,9.55108134803595e-07,0.05,0.0008527264650083102,130.0
30000,0.0,0.0,640.0,0.0,46,51,9.104578566621058e-07,0.05,0.0009339600489812563,137.0
35000,0.0,0.0,640.0,0.0,54,51,1.0072610621136846e-06,0.05,0.0007958906550100355,144.0
40000,0.0,0.0,640.0,0.0,62,51,1.0662934073479846e-06,0.05,0.0009216211791727686,165.0
45000,0.0,0.0,640.0,0.0,70,51,2.682000058484846e-06,0.05,0.0005105898443638438,181.0
50000,0.0,0.0,640.0,0.0,78,51,3.163279416185105e-07,0.05,0.00048559609347030764,181.0
55000,0.0,0.0,640.0,0.0,85,51,1.4990323506935965e-06,0.05,0.000643343670293648,182.0
60000,0.0,0.0,640.0,0.0,93,51,1.0314507790099015e-06,0.05,0.0012783938151804384,193.0
65000,0.0,0.0,640.0,0.0,101,51,4.334669370109623e-07,0.05,0.0003413950236769542,201.0
70000,0.0,0.0,640.0,0.0,109,51,8.511320856996463e-07,0.05,0.0004614588350660049,206.0
75000,0.0,0.0,640.0,0.0,117,51,1.0865107924473705e-06,0.05,0.0007720640802704046,213.0
80000,0.0,0.0,640.0,0.0,125,51,1.46564741498878e-06,0.05,0.0005225208913494517,217.0
85000,0.0,0.0,640.0,0.0,132,51,4.070816999046656e-07,0.05,0.0004030749974502455,221.0
90000,0.0,0.0,640.0,0.0,140,51,3.1149494361670804e-07,0.05,0.0005052586265634671,235.0
95000,0.0,0.0,640.0,0.0,148,55,7.043227014946751e-07,0.05,0.0011073628946443878,258.0
100000,0.0,0.0,640.0,0.0,156,56,1.748523800415569e-06,0.05,0.0009403236642043762,270.0
105000,0.0,0.0,640.0,0.0,164,56,3.6541280223900685e-07,0.05,0.0011724668510085885,287.0
110000,0.0,0.0,640.0,0.0,171,56,6.919717066011799e-07,0.05,0.0005621846022183747,300.0
115000,0.0,0.0,640.0,0.0,179,56,3.4077581290148373e-07,0.05,0.00046635438047877364,303.0
120000,0.0,0.0,640.0,0.0,187,56,2.690606208943791e-07,0.05,0.0007465027974712866,308.0
125000,0.0,0.0,640.0,0.0,195,56,8.013151955310605e-07,0.05,0.0007246790448378239,309.0
130000,0.0,0.0,640.0,0.0,203,56,5.086251917418849e-07,0.05,0.00041760149299984454,311.0
135000,0.0,0.0,640.0,0.0,210,57,1.0337238336433074e-06,0.05,0.0004889338844533265,317.0
140000,0.0,0.0,640.0,0.0,218,65,9.702245051812497e-07,0.05,0.0007713664051986303,327.0
145000,0.0,0.0,640.0,0.0,226,65,6.332269322228967e-07,0.05,0.0002717199833908162,327.0
150000,0.0,0.0,640.0,0.0,234,65,3.0418667051890225e-07,0.05,0.000545167208075591,328.0
155000,0.0,0.0,640.0,0.0,242,65,7.697815362917027e-07,0.05,0.0005288255445380194,332.0
160000,0.0,0.0,640.0,0.0,250,65,6.067770073059364e-07,0.05,0.000333369683239749,336.0
165000,0.0,0.0,640.0,0.0,257,65,6.311823881333112e-07,0.05,0.000357542122866719,337.0
170000,0.0,0.0,640.0,0.0,265,65,4.286071089154575e-06,0.05,0.0002894871455816391,338.0
175000,0.0,0.0,640.0,0.0,273,65,1.1440499747550348e-06,0.05,0.0006015899849168706,338.0
180000,0.0,0.0,640.0,0.0,281,66,3.052853685403534e-07,0.05,0.0008342758317702901,341.0
185000,0.0,0.0,640.0,0.0,289,66,1.250115133188956e-06,0.05,0.0006037105601457713,347.0
190000,0.0,0.0,640.0,0.0,296,66,8.585205364397552e-07,0.05,0.0004161246193094311,355.0
195000,0.0,0.0,640.0,0.0,304,68,2.354405808091542e-07,0.05,0.0002757157548428936,360.0
200000,0.0,0.0,640.0,0.0,312,68,1.1584362482608412e-06,0.05,0.00039807346818449305,362.0
205000,0.0,0.0,640.0,0.0,320,68,2.1026271213031578e-07,0.05,0.00043831665576583623,367.0
210000,0.0,0.0,640.0,0.0,328,68,4.343164050624182e-07,0.05,0.00027932476340813544,370.0
215000,0.0,0.0,640.0,0.0,335,68,6.151485649752431e-06,0.05,0.0001821699923239683,371.0
220000,0.0,0.0,640.0,0.0,343,68,4.3743666537920944e-06,0.05,0.00032581701413980695,371.0
225000,0.0,0.0,640.0,0.0,351,68,6.212551397766219e-07,0.05,0.0002179876326922885,371.0
230000,0.0,0.0,640.0,0.0,359,68,7.477633516828064e-07,0.05,0.0002381434255240416,373.0
235000,0.0,0.0,640.0,0.0,367,70,4.736448886433209e-07,0.05,0.0002746794356110312,378.0
240000,0.0,0.0,640.0,0.0,375,73,2.6912136945611564e-06,0.05,0.0006851942705991134,391.0
245000,0.0,0.0,640.0,0.0139296875,383,81,1.0352990784667782e-06,0.05,0.0003919998859198479,411.0
250000,0.0,0.0,640.0,0.0139296875,390,86,1.2766063264280092e-06,0.05,0.0004905911525710774,422.0
255000,0.0,0.0,640.0,0.0,398,95,3.4600088838487864e-07,0.05,0.0011255541576148192,444.0
260000,0.0,0.0,640.0,0.0,406,96,7.687693141633645e-05,0.05,0.0007791729400279032,456.0
265000,0.0,0.0,640.0,0.0,414,102,1.8078213770422735e-06,0.05,0.0014923095130581633,474.0
270000,0.0,0.0,640.0,0.0,422,108,6.439813296310604e-05,0.05,0.0009627518859467555,492.0
275000,0.0,0.0,640.0,0.006406249999999997,429,108,1.8864122921513626e-06,0.05,0.000334422066732906,508.0
280000,0.0,0.0,640.0,0.006406249999999997,437,108,3.654097554317559e-06,0.05,0.00043058847392277367,509.0
285000,0.0,0.0,640.0,0.0425546875,446,109,1.9290719137643464e-06,0.05,0.0006282707245663004,527.0
290000,0.0,0.0,640.0,0.0624609375,454,109,1.8061862192553235e-06,0.05,0.0005388483753585914,530.0
295000,0.0,0.0,640.0,0.10093749999999999,463,109,3.904215191141702e-07,0.05,0.00047786565198802575,532.0
300000,0.0,0.0,640.0,0.222265625,473,109,2.6403865831525763e-06,0.05,0.0004124073010829925,548.0
305000,0.0,0.0,640.0,0.3179140625,485,109,1.1460082305347896e-06,0.05,0.0006152045452855468,551.0
310000,0.0,0.0,640.0,0.78878125,524,109,7.582443231513025e-06,0.05,0.0004656191224092654,555.0
315000,0.0,0.0,640.0,0.8034765624999999,563,111,0.00013054262672085315,0.05,0.0003532048599607262,562.0
320000,0.0,0.0,640.0,0.7429140624999999,607,111,2.337694968446158e-05,0.05,0.00025955926961309696,562.0
325000,0.0,0.0,640.0,0.379265625,616,111,3.259921140852384e-05,0.05,0.0002721963609554442,562.0
330000,0.0,0.0,640.0,0.071875,623,111,0.0005946580204181373,0.05,0.0002167133943265067,562.0
335000,0.0,0.0,640.0,0.0350234375,631,111,4.95828062412329e-05,0.05,0.0002665821013808427,562.0
340000,0.0,0.0,640.0,0.0,639,111,0.0004134954942855984,0.05,0.00027494384532293463,562.0
345000,0.0,0.0,640.0,0.0,647,111,5.744092777604237e-05,0.05,0.000232296897452586,562.0
350000,0.0,0.0,640.0,0.0145625,655,111,9.997704910347238e-05,0.05,0.0007399069348293901,577.0
355000,0.0,0.0,640.0,0.0145625,663,112,0.0001528616267023608,0.05,0.00028379524682077746,579.0
360000,0.0,0.0,640.0,0.026804687499999997,671,112,0.00023282346955966204,0.05,0.0004108871204193364,580.0
365000,0.0,0.0,640.0,0.06829687499999999,679,112,0.00014800968347117305,0.05,0.0003000554896925055,581.0
370000,0.0,0.0,640.0,0.06829687499999999,687,112,0.00018514899420551956,0.05,0.0004359359401664064,583.0
375000,0.0,0.0,640.0,0.07371093749999999,696,112,0.00022796924167778343,0.05,0.000495630617332909,587.0
380000,0.0,0.0,640.0,0.08799218749999999,704,112,0.00021568925876636058,0.05,0.001048796324087735,598.0
385000,0.0,0.0,640.0,0.0566953125,712,115,0.0001290877553401515,0.05,0.000628642289977142,609.0
390000,0.0,0.0,640.0,0.010414062499999998,720,115,1.997559411393013e-05,0.05,0.0005343186632887313,612.0
395000,0.0,0.0,640.0,0.0,728,115,3.8099718949524686e-05,0.05,0.00017860264029448232,614.0
