step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,100.0,0.0,0,1,,0.1
5000,0.0,0.0,100.0,0.2183,61,32,4.1433246224187315e-05,0.08659643233600654
10000,0.0,0.0,100.0,0.5877,148,32,0.002999116899445653,0.07498942093324559
15000,0.0,0.0,100.0,0.6538999999999999,250,32,0.0007427351665683091,0.06493816315762113
20000,0.955,0.0,5.0,0.8686,504,32,0.0017242206959053874,0.05623413251903491
25000,0.0,0.0,100.0,0.5164,637,32,0.00010311582445865497,0.04869675251658631
30000,0.0,0.0,100.0,0.3381,708,32,0.00011271316179772839,0.042169650342858224
35000,0.0,0.0,100.0,0.24349999999999997,774,32,0.0016687677707523108,0.036517412725483776
40000,0.0,0.0,100.0,0.17095,835,32,0.00010172719339607283,0.0316227766016838
45000,0.0,0.0,100.0,0.24259999999999998,896,32,0.0011418689973652363,0.027384196342643614
50000,0.0,0.0,100.0,0.0807,951,32,0.0007828741217963398,0.023713737056616554
55000,0.0,0.0,100.0,0.07264999999999999,1004,32,4.845654621021822e-05,0.020535250264571463
60000,0.0,0.0,100.0,0.0,1057,32,1.8162787455366924e-05,0.01778279410038923
65000,0.0,0.0,100.0,0.0708,1111,32,1.2057413186994381e-05,0.01539926526059492
70000,0.0,0.0,100.0,0.14340000000000003,1167,32,0.0001774589909473434,0.01333521432163324
75000,0.0,0.0,100.0,0.18399999999999997,1223,32,1.4902517250448e-05,0.011547819846894583
80000,0.0,0.0,100.0,0.04239999999999999,1286,32,1.9563656678656116e-05,0.010000000000000002
85000,0.0,0.0,100.0,0.24935000000000002,1355,32,9.511882672086358e-05,0.008659643233600654
90000,0.955,0.0,5.0,0.8002,1462,32,0.0016277522081509233,0.007498942093324558
95000,0.0,0.0,100.0,0.81235,1664,32,6.191706052049994e-05,0.006493816315762114
100000,0.955,0.0,5.0,0.9442,2167,32,0.001267940504476428,0.005623413251903492
105000,0.955,0.0,5.0,0.9329499999999997,3006,32,0.00011357836774550378,0.004869675251658632
110000,0.955,0.0,5.0,0.8334999999999999,3469,32,0.00040048861410468817,0.004216965034285823
115000,0.0,0.0,100.0,0.9167499999999998,3945,32,0.00013903540093451738,0.003651741272548377
120000,0.0,0.0,100.0,0.86005,4642,32,0.0002997780102305114,0.0031622776601683794
125000,0.955,0.0,5.0,0.9545499999999997,5345,32,9.725332347443327e-05,0.0027384196342643617
130000,0.955,0.0,5.0,0.9351999999999998,5940,32,4.4840449845651165e-05,0.0023713737056616554
135000,0.955,0.0,5.0,0.9126999999999998,6373,32,0.00010486214159755036,0.002053525026457146
140000,0.955,0.0,5.0,0.9104499999999998,7003,32,0.00012594935833476484,0.001778279410038923
145000,0.0,0.0,100.0,0.8609,7524,32,0.0001076527769328095,0.001539926526059492
150000,0.955,0.0,5.0,0.9450999999999997,8302,32,0.001044045900925994,0.001333521432163324
155000,0.0,0.0,100.0,0.9468999999999997,8986,32,0.0005224999040365219,0.0011547819846894581
160000,0.0,0.0,100.0,0.9297999999999998,9636,32,6.954205309739336e-05,0.001
165000,0.955,0.0,5.0,0.9522999999999996,10243,32,0.0038127165753394365,0.001
170000,0.955,0.0,5.0,0.9225999999999999,11034,32,0.00010518207272980362,0.001
175000,0.0,0.0,100.0,0.9545499999999997,11833,32,0.000309369177557528,0.001
180000,0.0,0.0,100.0,0.9522999999999999,12585,32,0.002886354923248291,0.001
185000,0.955,0.0,5.0,0.9549999999999997,13252,32,3.615641253418289e-05,0.001
190000,0.955,0.0,5.0,0.9549999999999997,13851,32,3.7049776437925175e-05,0.001
195000,0.955,0.0,5.0,0.9419499999999997,14651,32,2.632522773637902e-05,0.001
200000,0.0,0.0,100.0,0.9271,15447,32,0.001038519199937582,0.001
205000,0.955,0.0,5.0,0.9158499999999998,16209,32,5.122073707752861e-05,0.001
210000,0.955,0.0,5.0,0.9522999999999999,16967,32,2.2998827262199484e-05,0.001
215000,0.955,0.0,5.0,0.9549999999999997,17836,32,6.555372237926349e-06,0.001
220000,0.0,0.0,100.0,0.9306999999999999,18581,32,1.9844435882987455e-05,0.001
225000,0.955,0.0,5.0,0.9522999999999998,19359,32,0.0027044075541198254,0.001
230000,0.0,0.0,100.0,0.9527499999999997,20331,32,7.817589357728139e-05,0.001
235000,0.955,0.0,5.0,0.9549999999999997,21210,32,2.3380860511679202e-05,0.001
240000,0.0,0.0,100.0,0.8595499999999999,21953,32,0.0011809073621407151,0.001
245000,0.955,0.0,5.0,0.9500499999999997,22628,32,1.1100717529188842e-05,0.001
250000,0.955,0.0,5.0,0.9545499999999997,23508,32,1.618651549506467e-05,0.001
255000,0.955,0.0,5.0,0.9527499999999997,24455,32,1.9075700038229115e-05,0.001
260000,0.955,0.0,5.0,0.9356499999999996,25321,32,1.5707615602877922e-05,0.001
265000,0.955,0.0,5.0,0.9549999999999997,26205,32,8.053953024500515e-06,0.001
270000,0.955,0.0,5.0,0.9540999999999998,27053,32,6.754147761967033e-06,0.001
275000,0.955,0.0,5.0,0.9540999999999998,27933,32,1.7875150660984218e-05,0.001
280000,0.0,0.0,100.0,0.9032500000000001,28592,32,3.2766318327048793e-05,0.001
285000,0.955,0.0,5.0,0.9545499999999997,29449,32,5.8220408391207457e-05,0.001
290000,0.955,0.0,5.0,0.9549999999999997,30344,32,2.17409833567217e-05,0.001
295000,0.955,0.0,5.0,0.95275,31292,32,0.0001812734262784943,0.001
300000,0.955,0.0,5.0,0.9549999999999997,32275,32,7.749191354378127e-06,0.001
305000,0.955,0.0,5.0,0.9342999999999998,33078,32,1.8628434190759435e-05,0.001
310000,0.955,0.0,5.0,0.9522999999999996,34019,32,1.042696567310486e-05,0.001
315000,0.955,0.0,5.0,0.9531999999999998,34893,32,1.9500794223858975e-05,0.001
320000,0.955,0.0,5.0,0.9549999999999997,35812,32,5.5223739764187485e-05,0.001
325000,0.955,0.0,5.0,0.9549999999999997,36710,32,9.126240911427885e-06,0.001
