step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,100.0,0.0,0,1,,1.0
5000,0.0,0.0,100.0,0.34850000000000003,65,32,3.016049595316872e-05,0.940625
10000,0.0,0.0,100.0,0.3697,141,32,0.0018670574063435197,0.88125
15000,0.0,0.0,100.0,0.5039499999999999,227,32,0.0016006689984351397,0.821875
20000,0.0,0.0,100.0,0.30569999999999997,313,32,0.00016861218318808824,0.7625
25000,0.0,0.0,100.0,0.14024999999999999,371,32,9.5790957857389e-05,0.703125
30000,0.0,0.0,100.0,0.27775,432,32,7.568847649963573e-05,0.64375
35000,0.0,0.0,100.0,0.29209999999999997,507,32,1.682966285443399e-05,0.5843750000000001
40000,0.0,0.0,100.0,0.1303,569,32,3.90656350646168e-05,0.525
45000,0.0,0.0,100.0,0.2931,632,32,2.0873023458989337e-05,0.46562500000000007
50000,0.0,0.0,100.0,0.33485,697,32,1.3637776646646671e-05,0.40625
55000,0.0,0.0,100.0,0.2016,755,32,1.2619732842722442e-05,0.34687500000000004
60000,0.0,0.0,100.0,0.19249999999999998,815,32,2.461861731717363e-05,0.2875000000000001
65000,0.0,0.0,100.0,0.040549999999999996,870,32,3.150260226902901e-06,0.22812500000000002
70000,0.0,0.0,100.0,0.05684999999999999,921,32,3.0498136766254902e-05,0.16875000000000007
75000,0.0,0.0,100.0,0.08745,974,32,4.722935409517959e-05,0.109375
80000,0.0,0.0,100.0,0.02395,1027,32,4.341259227658156e-06,0.050000000000000044
85000,0.0,0.0,100.0,0.038349999999999995,1078,32,0.00012123640044592321,0.050000000000000044
90000,0.0,0.0,100.0,0.10684999999999997,1132,32,8.401339982810896e-06,0.050000000000000044
95000,0.0,0.0,100.0,0.21284999999999998,1192,32,1.7211241356562823e-05,0.050000000000000044
100000,0.0,0.0,100.0,0.33895,1253,32,6.143183782114647e-06,0.050000000000000044
105000,0.0,0.0,100.0,0.22224999999999998,1317,32,1.5655019524274394e-05,0.050000000000000044
110000,0.0,0.0,100.0,0.69205,1406,32,1.8464191953171394e-06,0.050000000000000044
115000,0.955,0.0,5.0,0.9477999999999996,1876,32,0.00018786090367939323,0.050000000000000044
120000,0.955,0.0,5.0,0.9545499999999997,2612,32,0.0004293722449801862,0.050000000000000044
125000,0.955,0.0,5.0,0.8748499999999998,2947,32,0.00019901625637430698,0.050000000000000044
130000,0.0,0.0,100.0,0.7613,3108,32,0.00013760004367213696,0.050000000000000044
135000,0.955,0.0,5.0,0.8802499999999999,3479,32,2.8613521863007918e-05,0.050000000000000044
140000,0.955,0.0,5.0,0.9545499999999997,4185,32,1.1089878171333112e-05,0.050000000000000044
145000,0.0,0.0,100.0,0.77315,4847,32,0.00019022254855372012,0.050000000000000044
150000,0.0,0.0,100.0,0.8717000000000003,5145,32,5.651072206092067e-05,0.050000000000000044
155000,0.0,0.0,100.0,0.8406999999999998,5483,32,0.0006044546607881784,0.050000000000000044
160000,0.955,0.0,5.0,0.9513999999999996,6004,32,3.968897362938151e-05,0.050000000000000044
165000,0.955,0.0,5.0,0.9392499999999998,6728,32,6.368473259499297e-05,0.050000000000000044
170000,0.955,0.0,5.0,0.9000999999999998,7444,32,5.595207039732486e-05,0.050000000000000044
175000,0.0,0.0,100.0,0.94285,8027,32,6.262377428356558e-05,0.050000000000000044
180000,0.955,0.0,5.0,0.9379,8665,32,4.0333867218578234e-05,0.050000000000000044
185000,0.0,0.0,100.0,0.9401499999999997,9381,32,9.149520337814465e-05,0.050000000000000044
190000,0.955,0.0,5.0,0.9536499999999997,9995,32,2.309947922185529e-05,0.050000000000000044
195000,0.955,0.0,5.0,0.9473499999999996,10575,32,1.8565582649898715e-05,0.050000000000000044
200000,0.955,0.0,5.0,0.9518499999999996,11461,32,2.4269524146802723e-05,0.050000000000000044
205000,0.955,0.0,5.0,0.9536499999999999,12264,32,2.20563706534449e-05,0.050000000000000044
210000,0.955,0.0,5.0,0.8897499999999999,12908,32,6.722309626638889e-05,0.050000000000000044
215000,0.955,0.0,5.0,0.9522999999999996,13575,32,2.7869582481798716e-05,0.050000000000000044
220000,0.0,0.0,100.0,0.9108999999999998,14240,32,0.007744448725134134,0.050000000000000044
225000,0.955,0.0,5.0,0.8937999999999999,14661,32,6.179732008604333e-05,0.050000000000000044
230000,0.0,0.0,100.0,0.95095,15351,32,0.00013954140013083816,0.050000000000000044
235000,0.955,0.0,5.0,0.9527499999999997,16115,32,6.973108975216746e-05,0.050000000000000044
240000,0.955,0.0,5.0,0.9473499999999999,16727,32,2.013549965340644e-05,0.050000000000000044
245000,0.955,0.0,5.0,0.9518499999999998,17423,32,1.0784777259686962e-05,0.050000000000000044
250000,0.0,0.0,100.0,0.9279999999999997,18164,32,0.0008040035027079284,0.050000000000000044
255000,0.0,0.0,100.0,0.9288999999999998,18908,32,9.121253970079124e-05,0.050000000000000044
260000,0.0,0.0,100.0,0.8690499999999999,19633,32,3.507069413899444e-05,0.050000000000000044
265000,0.955,0.0,5.0,0.9473499999999996,20446,32,2.739180126809515e-05,0.050000000000000044
270000,0.955,0.0,5.0,0.95275,20952,32,0.0001915229222504422,0.050000000000000044
275000,0.955,0.0,5.0,0.9531999999999996,21629,32,0.001435780548490584,0.050000000000000044
280000,0.955,0.0,5.0,0.94915,22199,32,1.191017963719787e-05,0.050000000000000044
285000,0.955,0.0,5.0,0.9194499999999998,22990,32,5.227772635407746e-05,0.050000000000000044
290000,0.0,0.0,100.0,0.9486999999999999,23814,32,0.00019869393145199865,0.050000000000000044
295000,0.955,0.0,5.0,0.9522999999999998,24691,32,2.269173455715645e-05,0.050000000000000044
300000,0.0,0.0,100.0,0.9369999999999997,25503,32,0.0001913228479679674,0.050000000000000044
305000,0.955,0.0,5.0,0.9531999999999996,26267,32,2.1733239918830805e-05,0.050000000000000044
310000,0.955,0.0,5.0,0.9423999999999999,27055,32,0.00011297612945782021,0.050000000000000044
315000,0.955,0.0,5.0,0.9527499999999997,27757,32,9.507624781690538e-06,0.050000000000000044
320000,0.955,0.0,5.0,0.9545499999999997,28566,32,1.799593519535847e-05,0.050000000000000044
325000,0.955,0.0,5.0,0.9230499999999997,29303,32,2.6739007807918824e-05,0.050000000000000044
330000,0.955,0.0,5.0,0.9504999999999997,30167,32,6.1098973674234e-05,0.050000000000000044
335000,0.955,0.0,5.0,0.9536499999999997,31094,32,1.2832486390834674e-05,0.050000000000000044
340000,0.955,0.0,5.0,0.9518499999999996,31886,32,0.0011898453813046217,0.050000000000000044
345000,0.955,0.0,5.0,0.9522999999999996,32771,32,0.0014607345219701529,0.050000000000000044
350000,0.955,0.0,5.0,0.9518499999999998,33695,32,2.7777176001109183e-05,0.050000000000000044
355000,0.955,0.0,5.0,0.9527499999999998,34590,32,6.447986834245967e-06,0.050000000000000044
360000,0.955,0.0,5.0,0.9414999999999999,35420,32,4.230699232721236e-06,0.050000000000000044
365000,0.955,0.0,5.0,0.9522999999999998,36298,32,2.51321052928688e-05,0.050000000000000044
370000,0.955,0.0,5.0,0.9540999999999997,37236,32,2.505399788788054e-05,0.050000000000000044
375000,0.955,0.0,5.0,0.9527499999999997,38165,32,1.9759683709708042e-05,0.050000000000000044
380000,0.955,0.0,5.0,0.9540999999999997,39091,32,1.8112930774805136e-05,0.050000000000000044
385000,0.955,0.0,5.0,0.9522999999999999,39999,32,1.0208860658167396e-05,0.050000000000000044
390000,0.955,0.0,5.0,0.9518499999999998,40937,32,4.1345520003233105e-06,0.050000000000000044
395000,0.955,0.0,5.0,0.9522999999999998,41847,32,1.8634959815244656e-06,0.050000000000000044
