step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,60.0,0.0,0,1,,0.1
5000,0.0,0.0,60.0,0.0,83,73,1.168860649158887e-06,0.08659643233600654
10000,0.0,0.0,60.0,0.0,166,82,1.6919673839765892e-07,0.07498942093324559
15000,0.0,0.0,60.0,0.0,250,82,5.509772549316949e-08,0.06493816315762113
20000,0.0,0.0,60.0,0.0,333,83,5.083488119339563e-08,0.05623413251903491
25000,0.0,0.0,60.0,0.0,416,83,2.4745380855506482e-08,0.04869675251658631
30000,0.0,0.0,60.0,0.0,500,92,1.330101895291591e-07,0.042169650342858224
35000,0.0,0.0,60.0,0.0,583,95,3.1249218324092e-08,0.036517412725483776
40000,0.0,0.0,60.0,0.0,666,96,7.170878575379902e-07,0.0316227766016838
45000,0.0,0.0,60.0,0.0,750,98,3.6459177010783606e-08,0.027384196342643614
50000,0.0,0.0,60.0,0.0,833,104,3.8648035882715703e-08,0.023713737056616554
55000,0.0,0.0,60.0,0.0,916,106,2.8807323815271957e-07,0.020535250264571463
60000,0.0,0.0,60.0,0.0,1000,106,2.4721643399061577e-08,0.01778279410038923
65000,0.0,0.0,60.0,0.0,1083,106,1.5915361473162193e-08,0.01539926526059492
70000,0.0,0.0,60.0,0.0,1166,106,1.0265539458487183e-06,0.01333521432163324
75000,0.0,0.0,60.0,0.0,1250,106,2.8868036849871714e-08,0.011547819846894583
80000,0.0,0.0,60.0,0.0,1333,106,8.740235202253643e-09,0.010000000000000002
85000,0.0,0.0,60.0,0.0,1416,106,1.3126576270394708e-08,0.008659643233600654
90000,0.0,0.0,60.0,0.0,1500,106,5.403256508884624e-08,0.007498942093324558
95000,0.0,0.0,60.0,0.0,1583,106,5.2151168716818574e-08,0.006493816315762114
100000,0.0,0.0,60.0,0.0,1666,112,8.891492342399943e-08,0.005623413251903492
105000,0.0,0.0,60.0,0.0,1750,112,7.057323614390043e-08,0.004869675251658632
110000,0.0,0.0,60.0,0.0,1833,112,1.1033726821096934e-08,0.004216965034285823
115000,0.0,0.0,60.0,0.0,1916,112,1.312289654720189e-08,0.003651741272548377
120000,0.0,0.0,60.0,0.0,2000,112,1.2975471008758177e-07,0.0031622776601683794
125000,0.0,0.0,60.0,0.0,2083,112,6.765848326040214e-08,0.0027384196342643617
130000,0.0,0.0,60.0,0.0,2166,112,2.807810428606672e-09,0.0023713737056616554
135000,0.0,0.0,60.0,0.0,2250,112,2.1472320810289602e-08,0.002053525026457146
140000,0.0,0.0,60.0,0.0,2333,112,9.02310546280205e-08,0.001778279410038923
145000,0.0,0.0,60.0,0.0,2416,112,6.173522706376389e-07,0.001539926526059492
150000,0.0,0.0,60.0,0.0,2500,112,2.486684707037057e-07,0.001333521432163324
155000,0.0,0.0,60.0,0.0,2583,112,3.3222309347991086e-09,0.0011547819846894581
160000,0.0,0.0,60.0,0.0,2666,112,4.341384141071103e-08,0.001
165000,0.0,0.0,60.0,0.0,2750,112,4.4269081733716575e-09,0.001
170000,0.0,0.0,60.0,0.0,2833,112,1.5346543591476802e-08,0.001
175000,0.0,0.0,60.0,0.0,2916,112,7.979684824022115e-08,0.001
180000,0.0,0.0,60.0,0.0,3000,112,3.8303959115637554e-08,0.001
185000,0.0,0.0,60.0,0.0,3083,112,1.3979082780224417e-08,0.001
190000,0.0,0.0,60.0,0.0,3166,112,4.814714671397269e-08,0.001
195000,0.0,0.0,60.0,0.0,3250,112,1.9418999741560583e-08,0.001
200000,0.0,0.0,60.0,0.0,3333,112,1.3127734455053996e-08,0.001
205000,0.0,0.0,60.0,0.0,3416,112,9.409200885102109e-08,0.001
210000,0.0,0.0,60.0,0.0,3500,112,1.3245644581161287e-09,0.001
215000,0.0,0.0,60.0,0.0,3583,112,4.983202739339276e-09,0.001
220000,0.0,0.0,60.0,0.0,3666,112,1.0738370548324383e-07,0.001
225000,0.0,0.0,60.0,0.0,3750,112,1.878218292006295e-08,0.001
230000,0.0,0.0,60.0,0.0,3833,112,9.262027256262684e-10,0.001
235000,0.0,0.0,60.0,0.0,3916,112,2.5708885686981375e-08,0.001
240000,0.0,0.0,60.0,0.0,4000,112,1.2662860982004531e-08,0.001
245000,0.0,0.0,60.0,0.0,4083,112,2.1882177847487583e-08,0.001
250000,0.0,0.0,60.0,0.0,4166,112,7.70873054278809e-09,0.001
255000,0.0,0.0,60.0,0.0,4250,112,3.168830309263626e-09,0.001
260000,0.0,0.0,60.0,0.0,4333,112,2.6612394066205525e-08,0.001
265000,0.0,0.0,60.0,0.0,4416,112,8.055733502487783e-08,0.001
270000,0.0,0.0,60.0,0.0,4500,112,4.804922237866549e-09,0.001
275000,0.0,0.0,60.0,0.0,4583,113,5.032791960957184e-09,0.001
280000,0.0,0.0,60.0,0.0,4666,113,1.1656251075464752e-08,0.001
285000,0.0,0.0,60.0,0.0,4750,113,1.2216061406888912e-07,0.001
290000,0.0,0.0,60.0,0.0,4833,113,5.515188306048913e-10,0.001
