step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,60.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,60.0,0.0,83,12,9.920768206939101e-07,0.05,0.00038711750767994466,11.0
10000,0.0,0.0,60.0,0.0,166,14,3.4054426123475423e-07,0.05,0.0003365939516444565,13.0
15000,0.0,0.0,60.0,0.0,250,17,1.1395147225812252e-07,0.05,0.0007037623379045053,17.0
20000,0.0,0.0,60.0,0.0,333,18,2.5793579538913036e-07,0.05,0.00042140350373755985,20.0
25000,0.0,0.0,60.0,0.0,416,21,5.344043074728688e-07,0.05,0.0004224201414979042,26.0
30000,0.0,0.0,60.0,0.0,500,22,7.280814884325082e-07,0.05,0.00048079984331841284,30.0
35000,0.0,0.0,60.0,0.0,583,22,4.81198242141545e-07,0.05,0.00034266495807304517,30.0
40000,0.0,0.0,60.0,0.0,666,26,3.940839178540045e-06,0.05,0.0002234429850179946,34.0
45000,0.0,0.0,60.0,0.0,750,34,1.7221815085122216e-07,0.05,0.0005303792109702427,40.0
50000,0.0,0.0,60.0,0.0,833,34,1.7950283393020072e-07,0.05,0.0002912046071096911,40.0
55000,0.0,0.0,60.0,0.0,916,34,7.197842819550715e-07,0.05,0.00021536396154014538,40.0
60000,0.0,0.0,60.0,0.0,1000,36,7.382221838270198e-07,0.05,0.00020717016886317153,42.0
65000,0.0,0.0,60.0,0.0,1083,36,6.629495032939303e-07,0.05,0.00020143554657101148,42.0
70000,0.0,0.0,60.0,0.0,1166,36,3.5221273719798774e-07,0.05,0.0002448266739149095,42.0
75000,0.0,0.0,60.0,0.0,1250,37,1.8850282401672303e-07,0.05,0.00021157256324057849,45.0
80000,0.0,0.0,60.0,0.0,1333,39,2.045913873871541e-07,0.05,0.0002958870197172309,48.0
85000,0.0,0.0,60.0,0.0,1416,40,1.557810236363366e-07,0.05,0.0003258679482762361,49.0
90000,0.0,0.0,60.0,0.0,1500,40,3.145999301068514e-07,0.05,0.0002476757615985992,49.0
