step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,60.0,0.0,0,1,
5000,0.0,0.0,60.0,0.0,83,16,0.00013704963203053921
10000,0.0,0.0,60.0,0.0,166,16,1.0977981219184585e-05
15000,0.0,0.0,60.0,0.0,250,16,1.831237750593573e-05
20000,0.0,0.0,60.0,0.0,333,16,2.778946509351954e-05
25000,0.0,0.0,60.0,0.0,416,16,1.8500064697946073e-06
30000,0.0,0.0,60.0,0.0,500,38,7.960349648783449e-06
35000,0.0,0.0,60.0,0.0,583,46,2.155344560605954e-07
40000,0.0,0.0,60.0,0.0,666,46,9.765803099526238e-08
45000,0.0,0.0,60.0,0.0,750,46,1.2580727570821182e-07
50000,0.0,0.0,60.0,0.0,833,46,9.121627897457074e-08
55000,0.0,0.0,60.0,0.0,916,46,2.874258342444591e-08
60000,0.0,0.0,60.0,0.0,1000,46,1.1038287084375042e-07
65000,0.0,0.0,60.0,0.0,1083,46,7.697251902527569e-08
70000,0.0,0.0,60.0,0.0,1166,46,5.3272579236818274e-08
75000,0.0,0.0,60.0,0.0,1250,46,2.722130609811302e-08
80000,0.0,0.0,60.0,0.0,1333,46,6.802507357406284e-08
85000,0.0,0.0,60.0,0.0,1416,46,4.652088136936072e-07
90000,0.0,0.0,60.0,0.0,1500,46,1.2003773974811338e-08
95000,0.0,0.0,60.0,0.0,1583,46,1.1782322673070666e-08
100000,0.0,0.0,60.0,0.0,1666,46,1.717616449070647e-08
105000,0.0,0.0,60.0,0.0,1750,47,3.686757210630276e-08
110000,0.0,0.0,60.0,0.0,1833,47,4.6779651263761934e-09
115000,0.0,0.0,60.0,0.0,1916,47,3.055288688713631e-09
120000,0.0,0.0,60.0,0.0,2000,47,1.168984375965465e-08
125000,0.0,0.0,60.0,0.0,2083,47,2.3736980381272588e-08
130000,0.0,0.0,60.0,0.0,2166,47,8.857978173182346e-08
135000,0.0,0.0,60.0,0.0,2250,47,1.9521593230820145e-09
140000,0.0,0.0,60.0,0.0,2333,47,2.7885795006454828e-08
145000,0.0,0.0,60.0,0.0,2416,47,4.008922083187372e-09
150000,0.0,0.0,60.0,0.0,2500,48,1.2883722533274522e-08
155000,0.0,0.0,60.0,0.0,2583,48,1.7511570860051506e-08
160000,0.0,0.0,60.0,0.0,2666,48,2.580439328880857e-08
165000,0.0,0.0,60.0,0.0,2750,48,5.489910392952879e-08
170000,0.0,0.0,60.0,0.0,2833,48,6.273557229263815e-09
175000,0.0,0.0,60.0,0.0,2916,48,5.093414046086764e-08
180000,0.0,0.0,60.0,0.0,3000,48,1.5505980943686382e-09
185000,0.0,0.0,60.0,0.0,3083,48,3.2617947454127716e-07
190000,0.0,0.0,60.0,0.0,3166,48,3.1332572092424016e-09
195000,0.0,0.0,60.0,0.0,3250,48,8.128365536208548e-09
200000,0.0,0.0,60.0,0.0,3333,48,4.84668127853638e-09
205000,0.0,0.0,60.0,0.0,3416,48,2.7622433229623766e-09
210000,0.0,0.0,60.0,0.0,3500,48,3.5462677239195273e-09
215000,0.0,0.0,60.0,0.0,3583,48,3.0306122056344975e-08
220000,0.0,0.0,60.0,0.0,3666,48,2.1663968396978817e-09
225000,0.0,0.0,60.0,0.0,3750,48,1.0905441882869127e-08
230000,0.0,0.0,60.0,0.0,3833,48,6.719464984428214e-09
235000,0.0,0.0,60.0,0.0,3916,48,1.8697290382618803e-09
240000,0.0,0.0,60.0,0.0,4000,48,4.423240884676716e-09
245000,0.0,0.0,60.0,0.0,4083,48,1.3276086008318089e-08
250000,0.0,0.0,60.0,0.0,4166,48,2.2108479491578237e-09
255000,0.0,0.0,60.0,0.0,4250,48,1.2769359791775514e-08
260000,0.0,0.0,60.0,0.0,4333,48,1.8461724593521467e-08
265000,0.0,0.0,60.0,0.0,4416,48,1.0210166045965252e-08
270000,0.0,0.0,60.0,0.0,4500,48,4.5887126987054216e-08
275000,0.0,0.0,60.0,0.0,4583,48,1.577492136917158e-09
280000,0.0,0.0,60.0,0.0,4666,48,1.9964816466711e-09
285000,0.0,0.0,60.0,0.0,4750,48,4.773001993640946e-09
290000,0.0,0.0,60.0,0.0,4833,48,3.4295794648642186e-08
295000,0.0,0.0,60.0,0.0,4916,48,5.2131321481851955e-09
300000,0.0,0.0,60.0,0.0,5000,48,2.2160786983249636e-08
305000,0.0,0.0,60.0,0.0,5083,49,1.931605986271734e-09
310000,0.0,0.0,60.0,0.0,5166,49,1.601503285542094e-08
315000,0.0,0.0,60.0,0.0,5250,49,6.538731334160275e-09
320000,0.0,0.0,60.0,0.0,5333,49,1.1295472113204141e-08
325000,0.0,0.0,60.0,0.0,5416,49,4.60055415985039e-09
330000,0.0,0.0,60.0,0.0,5500,49,8.165141451854652e-09
335000,0.0,0.0,60.0,0.0,5583,49,2.1880449452282846e-08
340000,0.0,0.0,60.0,0.0,5666,49,8.772275350565906e-09
345000,0.0,0.0,60.0,0.0,5750,49,4.928617514110556e-09
350000,0.0,0.0,60.0,0.0,5833,49,1.6635810506926418e-09
355000,0.0,0.0,60.0,0.0,5916,49,1.1460516979866497e-08
360000,0.0,0.0,60.0,0.0,6000,49,5.253157908668982e-10
365000,0.0,0.0,60.0,0.0,6083,49,2.2919234510254682e-08
370000,0.0,0.0,60.0,0.0,6166,49,2.114131270047892e-08
375000,0.0,0.0,60.0,0.0,6250,49,2.8839002297331717e-09
380000,0.0,0.0,60.0,0.0,6333,49,1.2549976613485114e-09
385000,0.0,0.0,60.0,0.0,6416,49,2.4915234320133095e-09
390000,0.0,0.0,60.0,0.0,6500,49,8.731718459387139e-09
395000,0.0,0.0,60.0,0.0,6583,49,9.697788350138126e-09
