step,eval_return_mean,eval_return_std,eval_episode_len,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,100.0,0.0,0,1,,1.0
5000,0.0,0.0,100.0,0.0,50,44,3.513194144488807e-07,0.940625
10000,0.0,0.0,100.0,0.0,100,47,1.7028835941346188e-07,0.88125
15000,0.0,0.0,100.0,0.0,150,47,9.907893172567128e-08,0.821875
20000,0.0,0.0,100.0,0.0,200,47,8.650803096088566e-08,0.7625
25000,0.0,0.0,100.0,0.0,250,48,1.715349355890794e-07,0.703125
30000,0.0,0.0,100.0,0.0,300,48,2.116625950066009e-07,0.64375
35000,0.0,0.0,100.0,0.0,350,48,8.780241955719248e-07,0.5843750000000001
40000,0.0,0.0,100.0,0.0,400,48,5.416623150011901e-09,0.525
45000,0.0,0.0,100.0,0.0,450,48,7.354508824164441e-08,0.46562500000000007
50000,0.0,0.0,100.0,0.0,500,48,1.4484199084563443e-07,0.40625
55000,0.0,0.0,100.0,0.0,550,48,1.300919194591188e-07,0.34687500000000004
60000,0.0,0.0,100.0,0.0,600,48,1.608366915206716e-07,0.2875000000000001
65000,0.0,0.0,100.0,0.0,650,48,1.19654441732564e-06,0.22812500000000002
70000,0.0,0.0,100.0,0.0,700,48,2.889876071776598e-08,0.16875000000000007
75000,0.0,0.0,100.0,0.0,750,48,2.0597903471752943e-07,0.109375
80000,0.0,0.0,100.0,0.0,800,48,6.786599726638087e-09,0.050000000000000044
85000,0.0,0.0,100.0,0.0,850,48,5.264710267738337e-08,0.050000000000000044
90000,0.0,0.0,100.0,0.0,900,48,8.593095124354022e-09,0.050000000000000044
95000,0.0,0.0,100.0,0.0,950,48,1.8145282609793867e-08,0.050000000000000044
100000,0.0,0.0,100.0,0.0,1000,48,1.8415677871530534e-08,0.050000000000000044
105000,0.0,0.0,100.0,0.0,1050,48,4.150903176736165e-09,0.050000000000000044
110000,0.0,0.0,100.0,0.0,1100,48,4.74924242155339e-08,0.050000000000000044
115000,0.0,0.0,100.0,0.0,1150,50,7.627882325778046e-08,0.050000000000000044
120000,0.0,0.0,100.0,0.0,1200,50,4.235441863897904e-08,0.050000000000000044
125000,0.0,0.0,100.0,0.0,1250,50,4.0896413366908746e-08,0.050000000000000044
130000,0.0,0.0,100.0,0.0,1300,50,7.860972983664283e-10,0.050000000000000044
135000,0.0,0.0,100.0,0.0,1350,50,1.3085335481832772e-08,0.050000000000000044
140000,0.0,0.0,100.0,0.0,1400,50,9.448094573372146e-08,0.050000000000000044
145000,0.0,0.0,100.0,0.0,1450,50,3.588012020827591e-08,0.050000000000000044
150000,0.0,0.0,100.0,0.0,1500,50,4.856446622625299e-08,0.050000000000000044
155000,0.0,0.0,100.0,0.0,1550,50,2.0121410670981277e-07,0.050000000000000044
160000,0.0,0.0,100.0,0.0,1600,50,2.4941246845600062e-09,0.050000000000000044
165000,0.0,0.0,100.0,0.0,1650,50,5.472325597111194e-07,0.050000000000000044
170000,0.0,0.0,100.0,0.0,1700,50,1.2131102344881128e-08,0.050000000000000044
175000,0.0,0.0,100.0,0.0,1750,50,3.351545707630521e-09,0.050000000000000044
180000,0.0,0.0,100.0,0.0,1800,51,3.0156468433517603e-09,0.050000000000000044
185000,0.0,0.0,100.0,0.0,1850,51,3.2452675213789917e-08,0.050000000000000044
190000,0.0,0.0,100.0,0.0,1900,51,5.0803210527305964e-09,0.050000000000000044
195000,0.0,0.0,100.0,0.0,1950,51,3.121378711057332e-08,0.050000000000000044
200000,0.0,0.0,100.0,0.0,2000,51,8.129968875891791e-08,0.050000000000000044
205000,0.0,0.0,100.0,0.0,2050,51,5.81040779934483e-08,0.050000000000000044
210000,0.0,0.0,100.0,0.0,2100,51,5.0505306603554345e-09,0.050000000000000044
215000,0.0,0.0,100.0,0.0,2150,51,8.332632006613494e-08,0.050000000000000044
220000,0.0,0.0,100.0,0.0,2200,51,5.490839782851253e-09,0.050000000000000044
225000,0.0,0.0,100.0,0.0,2250,51,7.997530637737782e-09,0.050000000000000044
230000,0.0,0.0,100.0,0.0,2300,51,9.137326628660958e-08,0.050000000000000044
235000,0.0,0.0,100.0,0.0,2350,51,2.2219768247566662e-09,0.050000000000000044
240000,0.0,0.0,100.0,0.0,2400,51,3.666246328748457e-08,0.050000000000000044
245000,0.0,0.0,100.0,0.0,2450,51,1.1344005912405919e-07,0.050000000000000044
