step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,0.0,0,1,,0.1
5000,0.0,0.0,0.0,5,188,2.9544122526203864e-07,0.08659643233600654
10000,0.0,0.0,0.0,10,192,1.1640041464033857e-07,0.07498942093324559
15000,0.0,0.0,0.0,15,192,6.476774672137253e-08,0.06493816315762113
20000,0.0,0.0,0.0,20,192,3.879110010984732e-08,0.05623413251903491
25000,0.0,0.0,0.0,25,192,1.1874823258040124e-07,0.04869675251658631
30000,0.0,0.0,0.0,30,192,1.5391026408906328e-07,0.042169650342858224
35000,0.0,0.0,0.031235000000000002,35,211,3.730790254508065e-08,0.036517412725483776
40000,0.0,0.0,0.048295,40,216,1.7587041156730265e-08,0.0316227766016838
45000,0.0,0.0,0.048295,45,216,3.6934196145921305e-08,0.027384196342643614
50000,0.0,0.0,0.048295,50,216,1.6227087229481185e-08,0.023713737056616554
55000,0.0,0.0,0.01706,55,216,4.025885758096592e-08,0.020535250264571463
60000,0.0,0.0,0.0,60,216,2.1845616871019047e-08,0.01778279410038923
65000,0.0,0.0,0.0,65,216,7.732595719289748e-08,0.01539926526059492
70000,0.0,0.0,0.0,70,216,5.018141990831282e-08,0.01333521432163324
75000,0.0,0.0,0.0,75,216,7.149135683448549e-08,0.011547819846894583
80000,0.0,0.0,0.0,80,216,4.6740814241275075e-07,0.010000000000000002
85000,0.0,0.0,0.0,85,216,7.748038655108758e-08,0.008659643233600654
90000,0.0,0.0,0.0,90,216,1.731242917912823e-07,0.007498942093324558
95000,0.0,0.0,0.0,95,216,2.1431954166928335e-07,0.006493816315762114
100000,0.0,0.0,0.0,100,216,6.039924755896209e-07,0.005623413251903492
105000,0.0,0.0,0.0,105,216,3.5881282656191615e-07,0.004869675251658632
110000,0.0,0.0,0.0,110,216,3.5329384218130144e-07,0.004216965034285823
115000,0.0,0.0,0.0,115,216,2.963491169793997e-06,0.003651741272548377
120000,0.0,0.0,0.0,120,216,2.7664677304528595e-07,0.0031622776601683794
125000,0.0,0.0,0.0,125,216,2.302132600107143e-07,0.0027384196342643617
130000,0.0,0.0,0.0,130,216,7.499090202145453e-07,0.0023713737056616554
135000,0.0,0.0,0.0,135,216,5.289267619446036e-07,0.002053525026457146
140000,0.0,0.0,0.0,140,216,6.63358434849215e-07,0.001778279410038923
145000,0.0,0.0,0.0,145,216,3.2897244750529353e-07,0.001539926526059492
150000,0.0,0.0,0.0,150,216,2.6952500320476247e-07,0.001333521432163324
155000,0.0,0.0,0.0,155,216,1.4684771088013804e-07,0.0011547819846894581
160000,0.0,0.0,0.0,160,216,1.8002893398261222e-07,0.001
165000,0.0,0.0,0.036680000000000004,166,219,4.039330292471277e-07,0.001
170000,0.0,0.0,0.073495,172,219,2.7556109216675395e-07,0.001
175000,0.0,0.0,0.098025,177,219,4.2929471533170727e-08,0.001
180000,0.0,0.0,0.098025,182,219,5.538223035728151e-07,0.001
185000,0.0,0.0,0.061345000000000004,187,219,8.426508912862118e-08,0.001
190000,0.0,0.0,0.024530000000000003,192,219,1.0776855674521357e-07,0.001
195000,0.0,0.0,0.014404999999999996,197,219,1.9240647475271544e-07,0.001
200000,0.0,0.0,0.014404999999999996,202,219,4.0751268670646823e-07,0.001
205000,0.0,0.0,0.042445,208,220,1.6979998918031924e-07,0.001
210000,0.0,0.0,0.12368000000000001,215,220,1.1090971696603447e-07,0.001
215000,0.0,0.0,0.28593999999999997,223,220,4.273645686225791e-07,0.001
220000,0.0,0.0,0.291475,228,220,5.819433681608643e-07,0.001
225000,0.0,0.0,0.23729499999999995,234,220,9.415021509084909e-07,0.001
230000,0.0,0.0,0.285225,243,220,2.867639068426797e-06,0.001
235000,0.0,0.0,0.29661499999999996,248,220,1.624513060960453e-06,0.001
240000,0.0,0.0,0.297325,254,220,1.5571060885122279e-06,0.001
245000,0.0,0.0,0.163965,259,220,6.602458142879186e-06,0.001
250000,0.0,0.0,0.076285,264,220,3.415729906919296e-06,0.001
255000,0.0,0.0,0.04217,269,220,2.0420159216882894e-06,0.001
260000,0.0,0.0,0.0,274,220,2.4301966732309666e-06,0.001
265000,0.0,0.0,0.0,279,220,3.6857400118606165e-06,0.001
270000,0.0,0.0,0.0,284,220,2.1117723008501343e-05,0.001
275000,0.0,0.0,0.0,289,220,3.4220133784401696e-06,0.001
280000,0.0,0.0,0.0,294,220,4.7487956180702895e-06,0.001
285000,0.0,0.0,0.0,299,220,3.5553757697925903e-06,0.001
290000,0.0,0.0,0.0,304,220,8.863246875989717e-06,0.001
295000,0.0,0.0,0.0,309,220,6.8217841544537805e-06,0.001
300000,0.0,0.0,0.0,314,220,5.620300271402812e-06,0.001
305000,0.0,0.0,0.0,319,220,8.501866432197858e-06,0.001
310000,0.0,0.0,0.0,324,220,4.330398496676935e-06,0.001
315000,0.0,0.0,0.0,329,220,1.5220856766973156e-05,0.001
320000,0.0,0.0,0.0,334,220,5.6725539252511226e-06,0.001
325000,0.0,0.0,0.0,339,220,1.2144178981543519e-05,0.001
330000,0.0,0.0,0.0,344,220,5.135998890182236e-06,0.001
335000,0.0,0.0,0.0,349,220,3.3824837828433374e-06,0.001
340000,0.0,0.0,0.0,354,220,6.849715646239929e-06,0.001
345000,0.0,0.0,0.0,359,220,2.791724227790837e-06,0.001
350000,0.0,0.0,0.0,364,220,6.147426574898418e-06,0.001
355000,0.0,0.0,0.0,369,220,4.3212321543251164e-06,0.001
360000,0.0,0.0,0.0,374,220,6.543658059854351e-07,0.001
365000,0.0,0.0,0.0,379,220,2.4968187517515616e-06,0.001
370000,0.0,0.0,0.0,384,220,6.095278877182864e-07,0.001
375000,0.0,0.0,0.0,389,220,6.758534709661035e-07,0.001
380000,0.0,0.0,0.0,394,220,2.953488262846804e-07,0.001
385000,0.0,0.0,0.0,399,220,9.204103434967692e-08,0.001
390000,0.0,0.0,0.0,404,220,3.7822510989826696e-07,0.001
395000,0.0,0.0,0.0,409,220,1.953522854591938e-07,0.001
