step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,0.0,0,1,,1.0
5000,0.0,0.0,0.0,5,96,4.0545558022131445e-07,0.940625
10000,0.0,0.0,0.0,10,96,8.663126891406137e-07,0.88125
15000,0.0,0.0,0.0,15,96,3.3291618706243753e-07,0.821875
20000,0.0,0.0,0.0,20,96,2.0926160004819394e-07,0.7625
25000,0.0,0.0,0.0,25,99,1.386550820825505e-06,0.703125
30000,0.0,0.0,0.0,30,99,2.505844634015375e-07,0.64375
35000,0.0,0.0,0.0,35,99,3.291081611678237e-07,0.5843750000000001
40000,0.0,0.0,0.0,40,99,1.6629265076062438e-07,0.525
45000,0.0,0.0,0.0,45,176,9.635485298531421e-08,0.46562500000000007
50000,0.0,0.0,0.0,50,176,5.500262290070168e-08,0.40625
55000,0.0,0.0,0.0,55,176,1.3748494609444606e-07,0.34687500000000004
60000,0.0,0.0,0.0,60,176,9.691701308156553e-08,0.2875000000000001
65000,0.0,0.0,0.0,65,179,2.0079967555375333e-07,0.22812500000000002
70000,0.0,0.0,0.0,70,179,1.2926120973588695e-07,0.16875000000000007
75000,0.0,0.0,0.0,75,179,1.5937480668526405e-08,0.109375
80000,0.0,0.0,0.0,80,179,9.692658409221622e-08,0.050000000000000044
85000,0.0,0.0,0.0,85,179,1.454322813287945e-07,0.050000000000000044
90000,0.0,0.0,0.0,90,179,2.1518133053177735e-07,0.050000000000000044
95000,0.0,0.0,0.0,95,179,1.1909781605368153e-08,0.050000000000000044
100000,0.0,0.0,0.0,100,179,1.8149343361528736e-08,0.050000000000000044
105000,0.0,0.0,0.0,105,181,7.569512661120825e-08,0.050000000000000044
110000,0.0,0.0,0.0,110,181,7.222368481052399e-08,0.050000000000000044
115000,0.0,0.0,0.0,115,181,4.0374182219693466e-08,0.050000000000000044
120000,0.0,0.0,0.0,120,181,1.2166358942522493e-07,0.050000000000000044
125000,0.0,0.0,0.0,125,181,8.727700340216415e-09,0.050000000000000044
130000,0.0,0.0,0.0,130,181,7.42625827498955e-09,0.050000000000000044
135000,0.0,0.0,0.0,135,181,3.004249649052326e-08,0.050000000000000044
140000,0.0,0.0,0.0,140,181,1.1550630674150852e-08,0.050000000000000044
145000,0.0,0.0,0.011345,145,190,1.0481337575640737e-08,0.050000000000000044
150000,0.0,0.0,0.011345,150,190,2.6384309848026533e-08,0.050000000000000044
155000,0.0,0.0,0.011345,155,190,7.200394236406282e-08,0.050000000000000044
160000,0.0,0.0,0.011345,160,190,2.3017296957306144e-09,0.050000000000000044
165000,0.0,0.0,0.0,165,190,2.8864889145552297e-08,0.050000000000000044
170000,0.0,0.0,0.0,170,190,5.0472515056299017e-08,0.050000000000000044
175000,0.0,0.0,0.0,175,195,1.320638887136738e-07,0.050000000000000044
180000,0.0,0.0,0.0,180,195,7.816413294392532e-09,0.050000000000000044
185000,0.0,0.0,0.0,185,195,2.7580742134603042e-09,0.050000000000000044
190000,0.0,0.0,0.0,190,195,4.692080501911278e-09,0.050000000000000044
195000,0.0,0.0,0.0,195,195,2.8911602001358006e-09,0.050000000000000044
200000,0.0,0.0,0.0,200,195,4.4356278650070635e-09,0.050000000000000044
205000,0.0,0.0,0.0,205,195,4.887916738027798e-09,0.050000000000000044
210000,0.0,0.0,0.0061699999999999975,210,196,4.945327347627426e-08,0.050000000000000044
215000,0.0,0.0,0.0061699999999999975,215,196,7.780793254141827e-08,0.050000000000000044
220000,0.0,0.0,0.0061699999999999975,220,196,2.8383411176946538e-08,0.050000000000000044
225000,0.0,0.0,0.0061699999999999975,225,196,1.5570188471869528e-09,0.050000000000000044
