step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,0.0,0,1,
5000,0.0,0.0,0.0,5,4,0.0005722005153074861
10000,0.0,0.0,0.0,10,4,1.1807676855823956e-05
15000,0.0,0.0,0.0,15,4,7.407174416584894e-05
20000,0.0,0.0,0.0,20,20,5.180564767215401e-05
25000,0.0,0.0,0.0,25,31,6.266725449677324e-06
30000,0.0,0.0,0.0,30,93,7.649116741959006e-05
35000,0.0,0.0,0.0,35,109,2.435227770547499e-06
40000,0.0,0.0,0.022325,40,117,2.4480980300722877e-06
45000,0.0,0.0,0.04105,45,117,5.046773026151641e-07
50000,0.0,0.0,0.04105,50,117,1.1118711285007521e-07
55000,0.0,0.0,0.04105,55,117,1.65912098282206e-07
60000,0.0,0.0,0.018725000000000002,60,117,2.6303655431547668e-06
65000,0.0,0.0,0.022144999999999998,66,133,4.1417791862841113e-08
70000,0.0,0.0,0.022144999999999998,71,133,1.3908810103657743e-07
75000,0.0,0.0,0.022144999999999998,76,133,6.393656093450772e-08
80000,0.0,0.0,0.022144999999999998,81,146,6.389715423438247e-08
85000,0.0,0.0,0.0,86,146,6.828933862834674e-08
90000,0.0,0.0,0.0,91,146,6.200892244123679e-08
95000,0.0,0.0,0.0,96,151,3.1424239210764426e-08
100000,0.0,0.0,0.0,101,151,1.4754417065887537e-07
105000,0.0,0.0,0.0,106,151,3.6911245615556254e-07
110000,0.0,0.0,0.0,111,158,1.1430839208514953e-07
115000,0.0,0.0,0.0,116,158,1.1570879223654629e-06
120000,0.0,0.0,0.0,121,158,5.246481123322155e-06
125000,0.0,0.0,0.0,126,158,1.2098239210445172e-07
130000,0.0,0.0,0.033350000000000005,131,158,1.2505309996413416e-06
135000,0.0,0.0,0.080925,137,158,4.033291247651505e-07
140000,0.0,0.0,0.10325,142,158,3.6472929423325695e-06
145000,0.0,0.0,0.21351499999999998,150,158,4.950060201736051e-07
150000,0.0,0.0,0.283045,157,158,1.2057839740009513e-06
155000,0.0,0.0,0.276205,163,158,5.541563155020413e-07
160000,0.0,0.0,0.23371999999999998,168,158,4.798196187039139e-06
165000,0.0,0.0,0.136775,173,158,1.399913708155509e-05
170000,0.0,0.0,0.0487,178,158,1.6475166830787202e-06
175000,0.0,0.0,0.10234499999999999,185,158,1.3052618896836066e-06
180000,0.0,0.0,0.12737,191,158,1.432125827705022e-06
185000,0.0,0.0,0.17534999999999998,197,158,1.5648367480025627e-05
190000,0.0,0.0,0.17346,202,158,3.455084879533388e-05
195000,0.0,0.0,0.16365,208,158,6.691553608106915e-06
200000,0.0,0.0,0.116075,213,158,1.1892819202330429e-05
205000,0.0,0.0,0.11135499999999998,218,158,1.1719024769263342e-05
210000,0.0,0.0,0.11036499999999998,224,158,6.801762538088951e-06
215000,0.0,0.0,0.08453,229,158,7.313083642657148e-06
220000,0.0,0.0,0.039069999999999994,234,158,1.2714082913589664e-05
225000,0.0,0.0,0.030605,239,158,1.6132660675793886e-05
230000,0.0,0.0,0.0,244,158,3.067077341256663e-05
235000,0.0,0.0,0.0,249,158,8.022128895390779e-06
240000,0.0,0.0,0.0,254,158,1.5917152268229984e-05
245000,0.0,0.0,0.03902,260,158,1.3011647752136923e-05
250000,0.0,0.0,0.03902,265,158,2.323353328392841e-06
255000,0.0,0.0,0.03902,270,158,3.107958491455065e-06
260000,0.0,0.0,0.03902,275,158,9.759327440406196e-06
265000,0.0,0.0,0.0,280,158,5.6475328165106475e-06
270000,0.0,0.0,0.0,285,158,7.945827746880241e-07
275000,0.0,0.0,0.0,290,158,1.0516203019506065e-06
280000,0.0,0.0,0.094475,296,158,1.1934499752896954e-06
285000,0.0,0.0,0.33238,306,158,7.6182243446965e-07
290000,0.0,0.0,0.49508,316,158,2.7827779831568478e-06
295000,0.0,0.0,0.7178499999999999,334,158,1.3589227592092357e-06
300000,0.0,0.0,0.73832,351,158,8.429511581198312e-06
305000,0.0,0.0,0.80083,372,158,7.574190021841787e-06
310000,0.0,0.0,0.7430949999999998,391,158,3.8921210943954065e-05
315000,0.0,0.0,0.816215,417,158,0.000136763890623115
320000,0.0,0.0,0.587365,422,158,1.3570778719440568e-05
325000,0.0,0.0,0.41936,427,158,1.9360450096428394e-05
330000,0.0,0.0,0.211575,432,158,0.00011492988414829597
335000,0.0,0.0,0.0063950000000000005,437,158,0.0026253098621964455
340000,0.0,0.0,0.0063950000000000005,442,158,2.5709894543979317e-05
345000,0.0,0.0,0.039155,448,158,2.536530519137159e-05
350000,0.0,0.0,0.123,454,158,9.744167982717045e-06
355000,0.0,0.0,0.304415,463,158,1.4604478565161116e-05
360000,0.0,0.0,0.3113,469,158,1.0088473572977819e-05
365000,0.0,0.0,0.41369500000000003,479,158,3.965269570471719e-05
370000,0.9757,0.0,0.8270050000000001,515,158,0.00029586072196252644
375000,0.0,0.0,0.8456850000000001,550,158,0.0010351123055443168
380000,0.9757,0.0,0.74744,561,158,1.948017961694859e-05
385000,0.9757,0.0,0.79776,582,158,0.0003475728153716773
390000,0.0,0.0,0.91558,634,158,3.09270471916534e-05
395000,0.0,0.0,0.955315,720,158,4.9007314373739064e-05
