step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,0.0,13,27,3.0381891065189848e-06,0.05,0.0015643947694653835,42.0
10000,0.0,0.0,0.0,27,32,1.0365268963141716e-06,0.05,0.0009880673245008533,87.0
15000,0.0,0.0,0.0,41,32,2.5787433060031617e-06,0.05,0.0013776874189034905,105.0
20000,0.0,0.0,0.0,55,32,1.8760774764814414e-06,0.05,0.001126588222234846,123.0
25000,0.0,0.0,0.0,69,32,3.501100309222238e-06,0.05,0.000642415999200011,138.0
30000,0.0,0.0,0.0,83,32,1.8206810636911541e-06,0.05,0.0006718177592862034,140.0
35000,0.0,0.0,0.0,97,32,1.2445716492948122e-06,0.05,0.0007382551218789207,157.0
40000,0.0,0.0,0.0,111,32,1.8389235947324778e-06,0.05,0.0009153059704797433,165.0
45000,0.0,0.0,0.0,125,32,7.488960136470268e-07,0.05,0.0006387243400145581,167.0
50000,0.0,0.0,0.0,138,32,1.0104444072567276e-06,0.05,0.0005998222311984061,179.0
55000,0.0,0.0,0.0,152,32,1.546842554489558e-06,0.05,0.0008692517265265383,189.0
60000,0.0,0.0,0.0,166,32,1.5611806247761706e-06,0.05,0.0007687217555542397,198.0
65000,0.0,0.0,0.0,180,32,3.210524823771266e-07,0.05,0.0009243579871028543,204.0
70000,0.0,0.0,0.0,194,32,5.234683158050757e-07,0.05,0.00048772316438699676,204.0
75000,0.0,0.0,0.0,208,34,1.6068397599156015e-06,0.05,0.0004528572130256373,206.0
80000,0.0,0.0,0.0,222,34,5.572218242377858e-07,0.05,0.0006133265642652366,209.0
85000,0.0,0.0,0.0,236,34,6.079139893699903e-07,0.05,0.0005847440061519994,210.0
90000,0.0,0.0,0.0,250,34,9.187201612803619e-07,0.05,0.0005857824925830302,216.0
95000,0.0,0.0,0.0,263,34,2.9481134333764203e-06,0.05,0.00038554365809749356,216.0
100000,0.0,0.0,0.0,277,34,2.0913194020977244e-07,0.05,0.00042087895407538463,218.0
105000,0.0,0.0,0.0,291,36,4.594880635977461e-07,0.05,0.00033421813896959316,221.0
110000,0.0,0.0,0.0,305,36,9.882267022476299e-07,0.05,0.00039886391344711423,221.0
115000,0.0,0.0,0.0,319,39,2.686525988337962e-07,0.05,0.00042059553206571615,227.0
120000,0.0,0.0,0.0,333,39,1.2273969787202077e-06,0.05,0.00043308243803215227,227.0
125000,0.0,0.0,0.0,347,39,2.134412397936103e-07,0.05,0.0003486565767815216,229.0
130000,0.0,0.0,0.0,361,39,4.472186105886067e-07,0.05,0.00041105922392145307,233.0
135000,0.0,0.0,0.0,375,39,1.0430941301819985e-06,0.05,0.000310027706965004,233.0
140000,0.0,0.0,0.0,388,39,5.447806188385584e-07,0.05,0.0002050270497547886,236.0
145000,0.0,0.0,0.0,402,39,8.033533731577336e-07,0.05,0.00023650577022873314,241.0
150000,0.0,0.0,0.0,416,39,5.739948392147198e-07,0.05,0.0005510851627941438,247.0
155000,0.0,0.0,0.0,430,39,9.404111551702954e-07,0.05,0.0007633995453351041,256.0
160000,0.0,0.0,0.0,444,39,1.5505235069213086e-06,0.05,0.0002778937253327655,257.0
165000,0.0,0.0,0.0,458,39,2.5780496798688546e-05,0.05,0.00026664907531500926,262.0
170000,0.0,0.0,0.0,472,39,1.1981941270278185e-06,0.05,0.00019887463023830187,262.0
175000,0.0,0.0,0.05275,487,45,2.910604507633252e-06,0.05,0.00028357930541772416,271.0
180000,0.0,0.0,0.046375,501,45,1.3985606983624166e-06,0.05,0.0005009734088964219,274.0
185000,0.0,0.0,0.33725,521,45,9.661496733315289e-06,0.05,0.00038052053002634944,275.0
190000,0.0,0.0,0.9106249999999999,572,46,5.212384621700039e-06,0.05,0.0007562188681090362,276.0
195000,0.0,0.0,0.571375,606,46,2.4198905521188863e-05,0.05,0.00026289828416136275,276.0
200000,0.0,0.0,0.068625,620,46,5.302235877024941e-05,0.05,0.0002477431467021672,276.0
205000,0.0,0.0,0.0,634,46,9.57741285674274e-05,0.05,0.0002652695001127943,276.0
210000,0.0,0.0,0.158,651,46,9.135842992691323e-05,0.05,0.00024236176791335377,276.0
215000,0.0,0.0,0.1145,665,46,5.053531640442088e-05,0.05,0.00021493713261949804,276.0
220000,0.0,0.0,0.03125,679,46,0.00011482564150355756,0.05,0.00017657993206290318,276.0
225000,0.0,0.0,0.0,693,47,0.0001468781119911,0.05,0.0003923446677013002,277.0
230000,0.0,0.0,0.14575,709,48,0.00014064936840441078,0.05,0.0002748123095824695,278.0
235000,0.0,0.0,0.053000000000000005,724,48,7.890012784628198e-05,0.05,0.0002473111626998958,278.0
