step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,0.0,0,1,,0.1
5000,0.0,0.0,0.0467529296875,4,485,7.463689257747319e-07,0.08659643233600654
10000,0.0,0.0,0.033745659722222224,9,681,6.315093514785985e-07,0.07498942093324559
15000,0.0,0.0,0.029715401785714284,14,737,4.3503682434220536e-08,0.06493816315762113
20000,0.0,0.0,0.04075863486842105,19,751,9.981458788388409e-07,0.05623413251903491
25000,0.0,0.0,0.0501904296875,25,762,3.960395588364918e-06,0.04869675251658631
30000,0.0,0.0,0.04435546875,30,773,1.7562143739269231e-07,0.042169650342858224
35000,0.0,0.0,0.038740234375,34,773,1.2290358881728025e-06,0.036517412725483776
40000,0.0,0.0,0.05205566406249999,40,773,2.0370994207041804e-06,0.0316227766016838
45000,0.0,0.0,0.0387841796875,45,774,1.7307686448475579e-06,0.027384196342643614
50000,0.0,0.0,0.0669775390625,50,774,1.1329982953611761e-05,0.023713737056616554
55000,0.0,0.0,0.1173095703125,56,774,2.5764850306586595e-06,0.020535250264571463
60000,0.0,0.0,0.1878564453125,63,776,7.747965355520137e-06,0.01778279410038923
65000,0.0,0.0,0.237802734375,69,776,0.00014157843543216586,0.01539926526059492
70000,0.0,0.0,0.169013671875,74,776,1.3547058188123628e-05,0.01333521432163324
75000,0.0,0.0,0.141435546875,78,776,1.0736048352555372e-05,0.011547819846894583
80000,0.0,0.0,0.09288574218749998,83,776,5.300205521052703e-05,0.010000000000000002
85000,0.0,0.0,0.0394775390625,88,776,2.795025284285657e-05,0.008659643233600654
90000,0.0,0.0,0.007724609374999997,93,776,4.955572876497172e-06,0.007498942093324558
95000,0.0,0.0,0.007724609374999997,98,776,1.8294324036105536e-05,0.006493816315762114
100000,0.0,0.0,0.0,103,776,4.6416535042226315e-06,0.005623413251903492
105000,0.0,0.0,0.0,108,776,4.5545898501586635e-06,0.004869675251658632
110000,0.0,0.0,0.047880859374999994,114,776,2.8299668883846607e-06,0.004216965034285823
115000,0.0,0.0,0.047880859374999994,118,776,4.973431714461185e-06,0.003651741272548377
120000,0.0,0.0,0.047880859374999994,123,776,1.837677928051562e-06,0.0031622776601683794
125000,0.0,0.0,0.05657226562499999,128,776,3.174612857037573e-06,0.0027384196342643617
130000,0.0,0.0,0.0663720703125,134,776,1.917988583954866e-06,0.0023713737056616554
135000,0.0,0.0,0.0663720703125,139,776,3.200678975190385e-07,0.002053525026457146
140000,0.0,0.0,0.900595703125,164,776,1.2909733868582407e-06,0.001778279410038923
145000,0.0,0.0,0.8475537109374999,196,776,4.240688213030808e-06,0.001539926526059492
150000,0.0,0.0,0.7976855468749999,218,776,6.4704217948019505e-06,0.001333521432163324
155000,0.0,0.0,0.567373046875,223,776,2.948552901216317e-05,0.0011547819846894581
160000,0.0,0.0,0.37835937499999994,227,776,0.00014942698180675507,0.001
165000,0.0,0.0,0.19247558593749997,232,776,4.114551848033443e-05,0.001
170000,0.0,0.0,0.0,237,776,0.00016309127386193722,0.001
175000,0.0,0.0,0.0,242,776,3.275289054727182e-05,0.001
180000,0.0,0.0,0.0,247,776,0.0001569135201862082,0.001
185000,0.0,0.0,0.0,252,776,2.797487104544416e-05,0.001
190000,0.0,0.0,0.039453125,258,776,4.246598109602928e-05,0.001
195000,0.0,0.0,0.0639208984375,263,776,6.233236490515992e-05,0.001
200000,0.0,0.0,0.8879833984374998,289,776,1.3501265129889362e-05,0.001
205000,0.0,0.0,0.9326757812500001,364,776,1.2872478691861033e-05,0.001
210000,0.0,0.0,0.9487158203124999,447,776,2.768985359580256e-05,0.001
215000,0.0,0.0,0.9124609375,533,776,0.00018286859267391264,0.001
220000,0.0,0.0,0.8432031249999999,563,776,5.786291148979217e-05,0.001
225000,0.0,0.0,0.80400390625,584,776,3.372272112756036e-05,0.001
230000,0.0,0.0,0.9488476562500001,650,776,8.952471034717746e-06,0.001
235000,0.0,0.0,0.723515625,662,776,7.913598528830335e-05,0.001
240000,0.0,0.0,0.499267578125,667,776,0.00010473007569089532,0.001
245000,0.0,0.0,0.9534619140625,759,776,2.306967508047819e-05,0.001
250000,0.0,0.0,0.7653613281249999,767,776,5.4704363719793037e-05,0.001
255000,0.0,0.0,0.5431689453125,773,776,2.4056515030679293e-05,0.001
260000,0.9736328125,0.0,0.966337890625,855,776,0.0009066360653378069,0.001
265000,0.0,0.0,0.935048828125,947,776,1.8531216483097523e-05,0.001
270000,0.9736328125,0.0,0.9611962890625,1065,776,0.0004307240596972406,0.001
275000,0.9736328125,0.0,0.9622509765624999,1186,776,0.0003529957903083414,0.001
280000,0.0,0.0,0.8679882812499999,1240,776,2.268179196107667e-05,0.001
285000,0.0,0.0,0.9653271484374999,1308,776,6.304174348770175e-06,0.001
290000,0.0,0.0,0.9554833984375002,1414,776,5.230168244452216e-05,0.001
295000,0.9736328125,0.0,0.9672167968750001,1550,776,0.0003264419501647353,0.001
300000,0.9736328125,0.0,0.9666455078125,1661,776,3.040527371922508e-05,0.001
305000,0.9736328125,0.0,0.971611328125,1795,776,0.0004920790088362992,0.001
310000,0.9736328125,0.0,0.9725781249999998,1941,776,0.0005151016521267593,0.001
315000,0.9736328125,0.0,0.9730175781249999,2060,776,0.00011610873480094597,0.001
320000,0.9736328125,0.0,0.9703808593749998,2201,776,5.09163728565909e-05,0.001
325000,0.9736328125,0.0,0.9732812499999998,2346,776,1.4661782188341022e-05,0.001
330000,0.9736328125,0.0,0.97240234375,2439,776,3.973900311393663e-05,0.001
335000,0.0,0.0,0.9609765625,2566,776,0.00010537457274040207,0.001
340000,0.9736328125,0.0,0.9666455078124999,2679,776,0.0003964496427215636,0.001
345000,0.0,0.0,0.9726220703124999,2829,776,0.00011273287964286283,0.001
350000,0.9736328125,0.0,0.9299951171875002,2953,776,5.8093817642657086e-05,0.001
355000,0.0,0.0,0.9728417968749999,3088,776,0.0004548952856566757,0.001
360000,0.9736328125,0.0,0.96923828125,3238,776,6.954392301850021e-05,0.001
365000,0.9736328125,0.0,0.9699853515625001,3352,776,6.229302380234003e-05,0.001
370000,0.0,0.0,0.9564501953125,3486,776,0.0009030879591591656,0.001
375000,0.9736328125,0.0,0.9540332031250001,3617,776,0.00012052950478391722,0.001
380000,0.9736328125,0.0,0.9728417968749998,3741,776,0.0004627379239536822,0.001
385000,0.9736328125,0.0,0.9681835937499998,3887,776,9.544102795189247e-05,0.001
390000,0.9736328125,0.0,0.9718310546875,4031,776,0.000102673948276788,0.001
395000,0.0,0.0,0.9722265625000001,4145,776,0.0004887967952527106,0.001
