step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,0.0,0,1,,1.0
5000,0.0,0.0,0.298,60,32,0.00015068479115143418,0.940625
10000,0.0,0.0,0.37639999999999996,127,32,0.0021899600978940725,0.88125
15000,0.0,0.0,0.52245,240,32,0.00045734303421340883,0.821875
20000,0.0,0.0,0.3719,320,32,0.0005722056957893074,0.7625
25000,0.0,0.0,0.30115,391,32,2.978061093017459e-05,0.703125
30000,0.0,0.0,0.44135,472,32,7.133503095246851e-05,0.64375
35000,0.0,0.0,0.5359,568,32,8.387456182390451e-05,0.5843750000000001
40000,0.0,0.0,0.8600499999999999,789,32,3.966470103478059e-05,0.525
45000,0.955,0.0,0.9019,1226,32,0.00048619566950947046,0.46562500000000007
50000,0.955,0.0,0.86455,1547,32,0.000766357930842787,0.40625
55000,0.955,0.0,0.9401500000000003,1918,32,0.00019892433192580938,0.34687500000000004
60000,0.0,0.0,0.84655,2416,32,0.0004305957700125873,0.2875000000000001
65000,0.955,0.0,0.8775999999999998,2851,32,0.00018408760661259294,0.22812500000000002
70000,0.0,0.0,0.9369999999999999,3243,32,3.6107485357206315e-05,0.16875000000000007
75000,0.955,0.0,0.8928999999999998,3784,32,0.0003287051513325423,0.109375
80000,0.955,0.0,0.9513999999999998,4363,32,0.00014528406609315425,0.050000000000000044
85000,0.0,0.0,0.7943,4695,32,8.550073835067451e-05,0.050000000000000044
90000,0.955,0.0,0.8712500000000001,4931,32,9.942874748958275e-05,0.050000000000000044
95000,0.0,0.0,0.6871999999999999,5103,32,3.257506978115998e-05,0.050000000000000044
100000,0.955,0.0,0.9055,5448,32,8.233598055085167e-05,0.050000000000000044
105000,0.955,0.0,0.9383499999999998,6122,32,0.002234576502814889,0.050000000000000044
110000,0.955,0.0,0.9504999999999999,6753,32,0.0018021680880337954,0.050000000000000044
115000,0.955,0.0,0.9261999999999997,7460,32,0.00014596499386243522,0.050000000000000044
120000,0.955,0.0,0.9113499999999999,7965,32,0.0005439712549559772,0.050000000000000044
