step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,0.014514802631578946,19,70,2.8045651561114937e-06,0.05,0.0013644067463990733,41.0
10000,0.0,0.0,0.10500000000000001,41,134,2.333932343390188e-06,0.05,0.0013055913142466444,82.0
15000,0.0,0.0,0.5558398437500001,78,138,0.00018090923549607396,0.05,0.0004513793460841555,85.0
20000,0.0,0.0,0.55111328125,136,139,0.00011559205449884757,0.05,0.0006123417377653486,85.0
25000,0.0,0.0,0.019765625,156,139,0.0009085510391741991,0.05,0.00031199075933494524,85.0
30000,0.0,0.0,0.007109375000000001,176,139,8.488346793456003e-05,0.05,0.0004813317187162315,85.0
35000,0.0,0.0,0.0,195,139,3.688533979584463e-05,0.05,0.00019668237472068566,85.0
40000,0.0,0.0,0.0,215,139,0.00019521158537827432,0.05,0.00021792103961080134,85.0
45000,0.0,0.0,0.0,234,139,8.149707718985155e-05,0.05,0.00017918441207747144,85.0
50000,0.0,0.0,0.0,254,139,1.3650953405885957e-05,0.05,0.0003359741460029949,85.0
55000,0.0,0.0,0.0,274,139,2.9812146749463864e-05,0.05,0.0002310479351389736,85.0
60000,0.0,0.0,0.0,293,139,3.873303285217844e-05,0.05,0.00018271257705752586,85.0
65000,0.0,0.0,0.09769531249999999,314,139,1.2757734111801255e-05,0.05,0.0002902735599107372,85.0
70000,0.0,0.0,0.28263671875,340,139,1.9267597963334993e-05,0.05,0.000239367926685027,85.0
75000,0.0,0.0,0.023535156249999994,360,139,3.0297211196739227e-05,0.05,0.00024236879756799526,85.0
80000,0.0,0.0,0.1427734375,382,139,1.819920180423651e-05,0.05,0.00030035243792408863,85.0
85000,0.0,0.0,0.09558593749999998,403,139,6.366454726958182e-06,0.05,0.000172881042705736,85.0
90000,0.0,0.0,0.08355468749999999,424,139,0.001420103362761438,0.05,0.0001758614373645965,85.0
95000,0.0,0.0,0.203125,448,139,0.0010426845401525497,0.05,0.00026776077558339685,85.0
100000,0.961328125,0.0,0.33072265624999997,476,139,1.4044333511264995e-05,0.05,0.00025155940174299466,85.0
105000,0.0,0.0,0.45865234375,507,139,1.9422108380240388e-05,0.05,0.00025370184664560833,85.0
110000,0.0,0.0,0.18687499999999999,531,139,3.931131504941732e-05,0.05,0.0002886174434119297,85.0
115000,0.0,0.0,0.10806640625000001,554,139,1.2917988897243049e-05,0.05,0.0002284853222337181,85.0
120000,0.0,0.0,0.21121093749999997,577,139,9.538039739709347e-05,0.05,0.0002590328330560249,85.0
125000,0.0,0.0,0.2404296875,601,139,1.774474367266521e-05,0.05,0.00024803237291434445,85.0
130000,0.0,0.0,0.22630859375,627,139,3.097459557466209e-05,0.05,0.0002565141910355396,85.0
135000,0.0,0.0,0.278359375,652,139,0.00014809171261731535,0.05,0.0003497985301314974,85.0
140000,0.0,0.0,0.08064453125,673,139,9.523319931759033e-06,0.05,0.00040280626287248763,85.0
145000,0.0,0.0,0.11535156249999998,694,140,9.213732118951157e-05,0.05,0.0002770464770752157,86.0
150000,0.0,0.0,0.036464843749999996,715,140,1.2138273632444907e-05,0.05,0.0003123355378896042,86.0
155000,0.0,0.0,0.52541015625,746,140,7.753698810120113e-06,0.05,0.0002516378055064665,86.0
160000,0.0,0.0,0.41865234375,779,140,8.874901141098235e-06,0.05,0.0003427653608086399,86.0
165000,0.0,0.0,0.08486328125,800,140,9.96753151412122e-05,0.05,0.00026165365387731556,86.0
170000,0.0,0.0,0.7192968750000001,850,140,2.3171285647549666e-05,0.05,0.00025835800073508916,86.0
175000,0.954296875,0.0,0.89875,1000,140,2.343155756534543e-05,0.05,0.00025950381128697533,86.0
180000,0.0,0.0,0.9472656250000002,1210,140,0.00020113492792006582,0.05,0.00020814501776277519,86.0
185000,0.954296875,0.0,0.9252929687500002,1509,140,5.9010504628531635e-05,0.05,0.0001989600655859278,86.0
190000,0.954296875,0.0,0.9384765625,1786,140,5.367588164517656e-05,0.05,0.00017082569709276656,86.0
195000,0.954296875,0.0,0.93390625,1992,140,0.00011258327140239999,0.05,0.00017254656736566377,86.0
200000,0.0,0.0,0.9143945312499999,2112,140,1.3423057680483907e-05,0.05,0.0001800043387851088,86.0
205000,0.954296875,0.0,0.9409375000000001,2357,140,7.487583843612811e-06,0.05,0.00014766777178559166,86.0
210000,0.0,0.0,0.8040234375,2528,140,3.0086437618592754e-05,0.05,0.00014397401349965672,86.0
215000,0.0,0.0,0.92546875,2673,140,3.978363747592084e-05,0.05,0.00015436399328439614,86.0
220000,0.0,0.0,0.85947265625,2857,140,2.809633588185534e-05,0.05,0.00015429536894278915,86.0
225000,0.947265625,0.0,0.92845703125,3007,140,1.1271918992861174e-05,0.05,0.00020476203274912081,86.0
230000,0.954296875,0.0,0.90947265625,3221,140,0.0001724666217342019,0.05,0.00015804554224262092,86.0
235000,0.947265625,0.0,0.9092968750000001,3435,140,2.590352960396558e-05,0.05,0.00016802950251045657,86.0
240000,0.954296875,0.0,0.9444531250000001,3707,140,7.293205271707848e-06,0.05,0.00016307655538550143,86.0
245000,0.954296875,0.0,0.9187890625000001,3951,140,7.344978075707331e-05,0.05,0.00012832301841500532,86.0
250000,0.954296875,0.0,0.9279296875,4159,140,3.576906965463422e-05,0.05,0.0001521786465807954,86.0
255000,0.954296875,0.0,0.9393554687500002,4380,140,9.52417976805009e-05,0.05,0.00013408979844428996,86.0
260000,0.0,0.0,0.934609375,4639,140,2.8230297175468877e-05,0.05,0.0001319178521405551,86.0
265000,0.0,0.0,0.868515625,4898,140,1.2957287253811955e-05,0.05,0.00015081971966378937,86.0
270000,0.954296875,0.0,0.94708984375,5090,140,3.643109084805474e-05,0.05,0.00013925696553742333,86.0
275000,0.0,0.0,0.9005078124999999,5372,140,1.2123867236368824e-05,0.05,0.00012764983576861954,86.0
280000,0.947265625,0.0,0.9316210937500001,5522,140,8.284654177259654e-05,0.05,0.0001531187909123083,86.0
285000,0.954296875,0.0,0.9354882812499999,5744,140,6.512495019705966e-05,0.05,0.00011439818841338297,86.0
290000,0.954296875,0.0,0.9474414062500001,6002,140,6.600935012102127e-05,0.05,0.0001319263302212286,86.0
295000,0.954296875,0.0,0.9412890625000001,6297,140,0.009774725884199142,0.05,0.0001329776720429328,86.0
300000,0.0,0.0,0.9223046874999999,6605,140,4.739467112813145e-05,0.05,0.00010735070455208073,86.0
305000,0.954296875,0.0,0.9518359375000001,6922,140,1.107637035602238e-05,0.05,0.00012371705341179492,86.0
310000,0.0,0.0,0.94375,7183,140,1.4178362107486464e-05,0.05,0.00012976954652689382,86.0
315000,0.954296875,0.0,0.9346093750000002,7466,140,1.0032318641606253e-05,0.05,0.00011737563549520596,86.0
320000,0.954296875,0.0,0.9497265625000001,7752,140,2.7806710932054557e-05,0.05,0.00014270822592621634,86.0
325000,0.954296875,0.0,0.9358398437500002,8074,140,0.00012198391777928919,0.05,0.00011000098930625259,86.0
330000,0.0,0.0,0.9455078124999998,8397,140,4.4276606786297634e-05,0.05,0.00013814757040975706,86.0
335000,0.954296875,0.0,0.9521875,8724,140,1.82989224413177e-05,0.05,0.00013179815387979007,86.0
340000,0.954296875,0.0,0.95078125,9067,140,4.9065380153479055e-05,0.05,0.00014391902675771923,86.0
345000,0.954296875,0.0,0.9495507812499999,9399,140,6.187227882037405e-06,0.05,0.00013327365780389883,86.0
350000,0.954296875,0.0,0.9407617187500001,9738,140,7.8183284131228e-06,0.05,0.00012424134356609542,86.0
355000,0.954296875,0.0,0.91298828125,10061,140,2.0539126126095653e-05,0.05,0.00013071005786216737,86.0
360000,0.954296875,0.0,0.9523632812499999,10369,140,2.850104010576615e-06,0.05,0.00013653080449017423,86.0
365000,0.954296875,0.0,0.938828125,10697,140,2.7530715669854544e-05,0.05,0.00012760934773846784,86.0
370000,0.954296875,0.0,0.938828125,11027,140,1.0813605513249058e-05,0.05,0.00011926289122406771,86.0
375000,0.954296875,0.0,0.9488476562500001,11342,140,7.253128387674224e-06,0.05,0.00011552201364223645,86.0
380000,0.954296875,0.0,0.9493750000000001,11646,140,0.0001014870940707624,0.05,0.00012389506799098855,86.0
385000,0.954296875,0.0,0.9449804687500001,11984,140,4.3705013013095595e-06,0.05,0.00012624752194113293,86.0
390000,0.954296875,0.0,0.9511328125000003,12334,140,1.6050678823376074e-05,0.05,0.00011769316101100744,86.0
395000,0.954296875,0.0,0.94779296875,12682,140,0.0005944601725786924,0.05,0.0001101477845602726,86.0
