step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,0.0,0,1,
5000,0.0,0.0,0.0,19,7,0.0009612319408915937
10000,0.0,0.0,0.09312499999999999,40,140,3.0389439416467212e-05
15000,0.0,0.0,0.21376953125,64,140,2.5151935915346257e-05
20000,0.0,0.0,0.337578125,94,140,6.055573976482265e-06
25000,0.961328125,0.0,0.8569140624999999,173,140,0.0001233955263160169
30000,0.0,0.0,0.3779296875,291,140,0.0005340459756553173
35000,0.0,0.0,0.0,310,140,0.0023466406855732203
40000,0.0,0.0,0.0,330,140,0.0010535496985539794
45000,0.0,0.0,0.0,349,140,0.00036677223397418857
50000,0.0,0.0,0.0,369,140,0.003346116980537772
55000,0.0,0.0,0.0,388,140,3.3026328310370445e-05
60000,0.0,0.0,0.0,408,140,3.413195736357011e-05
65000,0.0,0.0,0.026796874999999998,428,140,2.294643309141975e-05
70000,0.0,0.0,0.076875,449,140,0.001761124236509204
75000,0.0,0.0,0.033125,469,140,5.3074254537932575e-05
80000,0.0,0.0,0.1509375,491,140,8.425034320680425e-05
85000,0.0,0.0,0.60322265625,534,140,6.342164124362171e-05
90000,0.0,0.0,0.9063085937500001,638,140,7.787105278111994e-05
95000,0.0,0.0,0.9460351562499998,852,140,0.00022081605857238173
100000,0.94375,0.0,0.9022656250000001,1004,140,0.0006234516040422022
105000,0.95078125,0.0,0.9314453124999998,1233,140,5.5188989790622145e-05
110000,0.0,0.0,0.8841601562499999,1462,140,0.00019072895520366728
115000,0.0,0.0,0.8890820312499998,1683,140,0.002090391470119357
120000,0.0,0.0,0.48703124999999997,1719,140,0.00010822357580764219
125000,0.0,0.0,0.8839843749999998,1848,140,1.83206739166053e-05
130000,0.9578125,0.0,0.94287109375,2092,140,6.275433406699449e-05
135000,0.9578125,0.0,0.9500781249999999,2467,140,5.4701638873666525e-05
140000,0.9578125,0.0,0.9571093749999999,2860,140,2.7812408006866463e-05
145000,0.9578125,0.0,0.9572851562499999,3218,140,9.796093945624307e-05
150000,0.9578125,0.0,0.9324999999999999,3585,140,4.1932893509510905e-05
155000,0.9578125,0.0,0.9555273437499998,3971,140,3.3187196095241234e-05
160000,0.93671875,0.0,0.9546484375000001,4359,140,2.6495577913010493e-05
165000,0.9578125,0.0,0.9456835937499999,4695,140,1.0876427950279322e-05
170000,0.9578125,0.0,0.94744140625,5063,140,0.010513635352253914
175000,0.9578125,0.0,0.9558789062499999,5433,140,1.757136851665564e-05
180000,0.9578125,0.0,0.9550000000000001,5810,140,9.399551345268264e-06
185000,0.9578125,0.0,0.9523632812499999,6165,140,9.85737733572023e-06
190000,0.9578125,0.0,0.9560546874999998,6545,140,6.50607471470721e-05
195000,0.9578125,0.0,0.9539453124999998,6942,140,7.641001502634026e-06
200000,0.9578125,0.0,0.9571093749999999,7347,140,6.946179382794071e-06
205000,0.9578125,0.0,0.9567578124999999,7745,140,1.5141809853957966e-05
210000,0.9578125,0.0,0.9572851562499999,8151,140,1.3324813153303694e-05
215000,0.9578125,0.0,0.9578124999999998,8560,140,5.596223218162777e-06
220000,0.0,0.0,0.9553515625,8968,140,5.003785918233916e-05
225000,0.9578125,0.0,0.9555273437499998,9347,140,7.802455002092756e-06
230000,0.9578125,0.0,0.9576367187499999,9754,140,7.004457984294277e-06
235000,0.9578125,0.0,0.9576367187499999,10163,140,9.977434274333064e-07
240000,0.9578125,0.0,0.9572851562499999,10577,140,4.6204654609027784e-06
245000,0.9578125,0.0,0.955703125,10972,140,7.988834113348275e-06
250000,0.9578125,0.0,0.9532421874999999,11348,140,3.3887688459799392e-06
255000,0.9578125,0.0,0.95640625,11739,140,2.5331055439892225e-06
260000,0.9578125,0.0,0.9550000000000001,12137,140,7.758686479064636e-06
265000,0.9578125,0.0,0.9576367187499999,12545,140,3.2477335025760112e-06
270000,0.9578125,0.0,0.9567578124999997,12959,140,5.6254844821523875e-05
275000,0.9578125,0.0,0.9574609374999999,13368,140,4.250588062859606e-06
280000,0.9578125,0.0,0.9576367187499999,13774,140,6.574478902621195e-06
285000,0.9578125,0.0,0.95623046875,14184,140,7.96649203493871e-07
290000,0.9578125,0.0,0.95623046875,14592,140,1.5395573882415192e-06
295000,0.9578125,0.0,0.94638671875,14947,140,5.718587999581359e-06
300000,0.9578125,0.0,0.9095703124999999,15279,140,4.760646788781742e-06
305000,0.9578125,0.0,0.9435742187499999,15659,140,3.3718858958309283e-06
310000,0.9578125,0.0,0.9546484374999998,16046,140,4.844604063691804e-06
315000,0.9578125,0.0,0.95078125,16419,140,5.239566689851927e-06
320000,0.9578125,0.0,0.9574609374999998,16821,140,3.2369607652071863e-06
325000,0.9578125,0.0,0.9571093749999999,17219,140,3.18965976475738e-06
330000,0.9578125,0.0,0.9565820312499997,17627,140,1.0162473699892871e-05
335000,0.9578125,0.0,0.95517578125,18026,140,2.40908375417348e-05
340000,0.9578125,0.0,0.9567578124999999,18437,140,6.183273853821447e-06
345000,0.9578125,0.0,0.9578124999999998,18839,140,3.450541896654613e-07
350000,0.9578125,0.0,0.95728515625,19252,140,1.3383401892497204e-05
355000,0.9578125,0.0,0.9553515625,19659,140,1.8663043022115744e-07
360000,0.9578125,0.0,0.9574609374999998,20051,140,9.85355018201517e-06
365000,0.9578125,0.0,0.9574609374999998,20456,140,2.714971060413518e-06
370000,0.9578125,0.0,0.955703125,20857,140,2.3312439225264825e-05
375000,0.9578125,0.0,0.9549999999999998,21262,140,6.657662652287399e-07
380000,0.9578125,0.0,0.9571093749999999,21660,140,1.2709234624708188e-06
385000,0.9578125,0.0,0.9569335937499999,22063,140,2.7429837246017996e-06
390000,0.9578125,0.0,0.9572851562499999,22460,140,5.268714630801696e-06
395000,0.9578125,0.0,0.9567578124999999,22869,140,2.577565737738041e-06
