step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon
0,0.0,0.0,0.0,0,1,,1.0
5000,0.0,0.0,0.0,83,40,1.0151850915463001e-07,0.940625
10000,0.0,0.0,0.0,166,47,4.9155715942106326e-08,0.88125
15000,0.0,0.0,0.0,250,54,5.258860724666192e-08,0.821875
20000,0.0,0.0,0.0,333,60,6.198239255184035e-09,0.7625
25000,0.0,0.0,0.0,416,64,4.133077879941993e-08,0.703125
30000,0.0,0.0,0.0,500,64,1.0350273527137688e-07,0.64375
35000,0.0,0.0,0.0,583,64,5.35642868726427e-07,0.5843750000000001
40000,0.0,0.0,0.0,666,67,2.397610501247982e-07,0.525
45000,0.0,0.0,0.0,750,67,4.161630684507145e-08,0.46562500000000007
50000,0.0,0.0,0.0,833,67,1.4325998165531928e-08,0.40625
55000,0.0,0.0,0.0,916,67,4.848701884441198e-09,0.34687500000000004
60000,0.0,0.0,0.0,1000,67,7.349086672547855e-08,0.2875000000000001
65000,0.0,0.0,0.0,1083,67,5.247647436590341e-07,0.22812500000000002
70000,0.0,0.0,0.0,1166,67,3.879597088030096e-09,0.16875000000000007
75000,0.0,0.0,0.0,1250,67,5.895935828448273e-08,0.109375
80000,0.0,0.0,0.0,1333,67,6.216591241781089e-09,0.050000000000000044
85000,0.0,0.0,0.0,1416,67,9.107949061615273e-09,0.050000000000000044
90000,0.0,0.0,0.0,1500,67,2.0866064431857012e-08,0.050000000000000044
95000,0.0,0.0,0.0,1583,67,3.9891641989697746e-08,0.050000000000000044
100000,0.0,0.0,0.0,1666,67,1.6437433636440346e-09,0.050000000000000044
105000,0.0,0.0,0.0,1750,67,9.683990498388084e-08,0.050000000000000044
110000,0.0,0.0,0.0,1833,67,6.966855536916228e-09,0.050000000000000044
115000,0.0,0.0,0.0,1916,67,1.7146923880773102e-08,0.050000000000000044
120000,0.0,0.0,0.0,2000,67,9.943436296566688e-09,0.050000000000000044
125000,0.0,0.0,0.0,2083,67,5.576133688123264e-08,0.050000000000000044
130000,0.0,0.0,0.0,2166,67,4.306491163674764e-09,0.050000000000000044
135000,0.0,0.0,0.0,2250,67,1.3867987647131486e-08,0.050000000000000044
140000,0.0,0.0,0.0,2333,67,9.345860974008247e-09,0.050000000000000044
145000,0.0,0.0,0.0,2416,67,1.2632044388283248e-07,0.050000000000000044
150000,0.0,0.0,0.0,2500,67,8.11565659120106e-09,0.050000000000000044
155000,0.0,0.0,0.0,2583,67,1.7641422545011665e-08,0.050000000000000044
160000,0.0,0.0,0.0,2666,67,7.367479959441425e-09,0.050000000000000044
165000,0.0,0.0,0.0,2750,67,1.9054716915434255e-08,0.050000000000000044
170000,0.0,0.0,0.0,2833,67,3.3025493451077637e-09,0.050000000000000044
175000,0.0,0.0,0.0,2916,67,5.199196095873049e-08,0.050000000000000044
180000,0.0,0.0,0.0,3000,67,1.6370861999348563e-08,0.050000000000000044
185000,0.0,0.0,0.0,3083,67,7.916317046330335e-10,0.050000000000000044
190000,0.0,0.0,0.0,3166,67,3.1841498326912188e-09,0.050000000000000044
