step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss
0,0.0,0.0,0.0,0,1,
5000,0.0,0.0,0.0,62,4,0.0010046036913990974
10000,0.0,0.0,0.0,125,72,0.00011003985855495557
15000,0.0,0.0,0.0,187,85,2.8446280339267105e-05
20000,0.0,0.0,0.0,250,88,1.8744545741355978e-05
25000,0.0,0.0,0.0,312,92,5.684443294740049e-06
30000,0.0,0.0,0.0,375,92,8.459512628178345e-07
35000,0.0,0.0,0.0,437,92,1.4338691016746452e-06
40000,0.0,0.0,0.0,500,92,3.201557490228879e-07
45000,0.0,0.0,0.0,562,93,1.4542469273237657e-07
50000,0.0,0.0,0.0,625,94,4.675516720453743e-07
55000,0.0,0.0,0.0,687,94,1.369909341519815e-07
60000,0.0,0.0,0.0,750,94,2.0442323034330911e-07
65000,0.0,0.0,0.0,812,94,1.7347591096950055e-07
70000,0.0,0.0,0.0,875,96,1.879047033526149e-07
75000,0.0,0.0,0.0,937,96,1.1241911401782545e-08
80000,0.0,0.0,0.0,1000,96,6.112736627983395e-08
85000,0.0,0.0,0.0,1062,96,9.62129433901282e-08
90000,0.0,0.0,0.0,1125,96,1.832469820328697e-08
95000,0.0,0.0,0.0,1187,96,8.106562177090382e-08
100000,0.0,0.0,0.0,1250,96,1.3574640966851348e-08
105000,0.0,0.0,0.0,1312,96,1.3899875739298295e-07
110000,0.0,0.0,0.0,1375,96,1.431586227340631e-08
115000,0.0,0.0,0.0,1437,96,5.181910012197477e-08
120000,0.0,0.0,0.0,1500,96,3.6728941665842285e-08
125000,0.0,0.0,0.0,1562,96,6.296915699977035e-08
130000,0.0,0.0,0.0,1625,96,1.5385424489977595e-08
135000,0.0,0.0,0.0,1687,96,6.958986631389052e-08
140000,0.0,0.0,0.0,1750,96,1.914838421157583e-08
145000,0.0,0.0,0.0,1812,96,2.3103684299030647e-08
150000,0.0,0.0,0.0,1875,96,1.791659265393264e-08
155000,0.0,0.0,0.0,1937,96,2.345675831350036e-08
160000,0.0,0.0,0.0,2000,96,1.0714702902703266e-08
165000,0.0,0.0,0.0,2062,98,1.8078577568303444e-07
170000,0.0,0.0,0.0,2125,98,1.6407517122729587e-08
175000,0.0,0.0,0.0,2187,98,9.693958524792379e-09
180000,0.0,0.0,0.0,2250,98,1.2731383947084396e-08
185000,0.0,0.0,0.0,2312,98,6.79755007837457e-09
190000,0.0,0.0,0.0,2375,98,3.1197423311368766e-08
195000,0.0,0.0,0.0,2437,108,8.494366454669944e-08
200000,0.0,0.0,0.0,2500,108,6.639250482720627e-09
205000,0.0,0.0,0.0,2562,108,4.643465167930572e-09
210000,0.0,0.0,0.0,2625,108,8.038738741333873e-08
215000,0.0,0.0,0.0,2687,111,1.7624337544930313e-08
220000,0.0,0.0,0.0,2750,111,1.846598252086551e-08
225000,0.0,0.0,0.0,2812,115,9.412750578974283e-09
230000,0.0,0.0,0.0,2875,115,1.0437608111146801e-08
235000,0.0,0.0,0.0,2937,115,1.538182736737781e-08
240000,0.0,0.0,0.0,3000,115,1.4733550379730787e-08
245000,0.0,0.0,0.0,3062,115,1.6384799295110497e-08
250000,0.0,0.0,0.0,3125,115,9.272927314896151e-09
255000,0.0,0.0,0.0,3187,116,1.8544360713690367e-08
260000,0.0,0.0,0.0,3250,116,1.1087179174751327e-08
265000,0.0,0.0,0.0,3312,116,1.98567704501329e-08
270000,0.0,0.0,0.0,3375,118,1.1397863097784011e-08
275000,0.0,0.0,0.0,3437,118,5.349970777501767e-08
280000,0.0,0.0,0.0,3500,118,5.9897096171823705e-09
285000,0.0,0.0,0.0,3562,118,7.52977680207323e-09
290000,0.0,0.0,0.0,3625,118,1.8674086277314927e-08
295000,0.0,0.0,0.0,3687,118,1.5486152804555786e-08
300000,0.0,0.0,0.0,3750,118,1.438078633952955e-08
305000,0.0,0.0,0.0,3812,120,4.190155067362866e-08
310000,0.0,0.0,0.0,3875,120,8.913322524506384e-09
315000,0.0,0.0,0.0,3937,120,6.353579884432747e-09
320000,0.0,0.0,0.0,4000,120,2.383501396252541e-08
325000,0.0,0.0,0.0,4062,120,6.355729276208422e-09
330000,0.0,0.0,0.0,4125,120,3.708230389420919e-09
335000,0.0,0.0,0.0,4187,126,4.391843777540316e-09
340000,0.0,0.0,0.0,4250,126,1.0977538877909865e-08
345000,0.0,0.0,0.0,4312,126,2.2456090320588373e-08
350000,0.0,0.0,0.0,4375,128,1.8455560635288748e-08
355000,0.0,0.0,0.0,4437,128,1.4808639647867494e-08
360000,0.0,0.0,0.0,4500,128,4.032941092191322e-08
365000,0.0,0.0,0.0,4562,128,2.225517370391117e-08
370000,0.0,0.0,0.0,4625,128,2.2061605875478563e-08
375000,0.0,0.0,0.0,4687,128,8.817940155836368e-09
380000,0.0,0.0,0.0,4750,128,3.7330671887048084e-08
385000,0.0,0.0,0.0,4812,128,9.717696869415704e-09
390000,0.0,0.0,0.0,4875,128,8.470547818717478e-09
395000,0.0,0.0,0.0,4937,130,1.167325969220201e-08
