step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,temperature
0,0.0,0.0,0.0,0,1,,0.1
5000,0.0,0.0,0.0,50,39,2.3126226267322636e-07,0.08659643233600654
10000,0.0,0.0,0.0,100,42,5.5413742927612475e-08,0.07498942093324559
15000,0.0,0.0,0.0,150,44,2.888022088143316e-08,0.06493816315762113
20000,0.0,0.0,0.0,200,53,7.430500090777059e-07,0.05623413251903491
25000,0.0,0.0,0.0,250,56,3.738684881682275e-07,0.04869675251658631
30000,0.0,0.0,0.0,300,56,6.347872385958908e-06,0.042169650342858224
35000,0.0,0.0,0.0,350,59,1.6200917229980405e-07,0.036517412725483776
40000,0.0,0.0,0.0,400,60,9.582297479937552e-07,0.0316227766016838
45000,0.0,0.0,0.0,450,60,1.205019998451462e-06,0.027384196342643614
50000,0.0,0.0,0.0,500,60,3.3231953011636506e-07,0.023713737056616554
55000,0.0,0.0,0.0,550,60,2.156393321683936e-07,0.020535250264571463
60000,0.0,0.0,0.0,600,60,3.175657923293329e-07,0.01778279410038923
65000,0.0,0.0,0.0,650,60,7.677401754335733e-07,0.01539926526059492
70000,0.0,0.0,0.0,700,60,3.260020164930211e-08,0.01333521432163324
75000,0.0,0.0,0.0,750,60,4.7929489710440976e-08,0.011547819846894583
80000,0.0,0.0,0.0,800,60,9.100216580293363e-09,0.010000000000000002
85000,0.0,0.0,0.0,850,60,3.209720205177291e-07,0.008659643233600654
90000,0.0,0.0,0.0,900,60,8.881567055141204e-07,0.007498942093324558
95000,0.0,0.0,0.0,950,60,9.212568841121538e-08,0.006493816315762114
100000,0.0,0.0,0.0,1000,60,5.7457647528735833e-08,0.005623413251903492
105000,0.0,0.0,0.0,1050,60,5.3554781942466434e-08,0.004869675251658632
110000,0.0,0.0,0.0,1100,60,5.260975655119182e-08,0.004216965034285823
115000,0.0,0.0,0.0,1150,60,2.3978593333140452e-08,0.003651741272548377
120000,0.0,0.0,0.0,1200,60,3.4741546528493927e-07,0.0031622776601683794
125000,0.0,0.0,0.0,1250,60,2.8809783003680423e-08,0.0027384196342643617
130000,0.0,0.0,0.0,1300,60,3.126420367038918e-08,0.0023713737056616554
135000,0.0,0.0,0.0,1350,60,8.749844937483431e-08,0.002053525026457146
140000,0.0,0.0,0.0,1400,60,1.3454456215811206e-08,0.001778279410038923
145000,0.0,0.0,0.0,1450,60,2.5293257266412184e-08,0.001539926526059492
150000,0.0,0.0,0.0,1500,60,2.106637566612335e-07,0.001333521432163324
155000,0.0,0.0,0.0,1550,68,1.6198674401834978e-08,0.0011547819846894581
160000,0.0,0.0,0.0,1600,69,1.8905902265942132e-07,0.001
165000,0.0,0.0,0.0,1650,69,5.0434934451004665e-08,0.001
170000,0.0,0.0,0.0,1700,69,1.4000265480262897e-07,0.001
175000,0.0,0.0,0.0,1750,69,2.434453882926846e-08,0.001
180000,0.0,0.0,0.0,1800,84,1.7798436147131724e-07,0.001
185000,0.0,0.0,0.0,1850,84,2.7447569550531625e-08,0.001
190000,0.0,0.0,0.0,1900,84,6.550029496565912e-08,0.001
195000,0.0,0.0,0.0,1950,84,6.929687401679985e-08,0.001
200000,0.0,0.0,0.0,2000,84,1.818063566361161e-08,0.001
205000,0.0,0.0,0.0,2050,90,9.846586124240275e-08,0.001
210000,0.0,0.0,0.0,2100,90,2.983488345265073e-09,0.001
215000,0.0,0.0,0.0,2150,90,5.9430373511304424e-08,0.001
220000,0.0,0.0,0.0,2200,90,1.1778652719840466e-08,0.001
225000,0.0,0.0,0.0,2250,90,5.27191090782253e-09,0.001
230000,0.0,0.0,0.0,2300,90,5.47318030896804e-08,0.001
235000,0.0,0.0,0.0,2350,90,4.627127125900188e-09,0.001
240000,0.0,0.0,0.0,2400,90,1.350444023273667e-08,0.001
245000,0.0,0.0,0.0,2450,90,1.6025868632141282e-08,0.001
250000,0.0,0.0,0.0,2500,90,2.1666231475592213e-08,0.001
255000,0.0,0.0,0.0,2550,90,7.451099293120933e-09,0.001
260000,0.0,0.0,0.0,2600,90,1.700058227527279e-08,0.001
265000,0.0,0.0,0.0,2650,96,4.550218868359934e-09,0.001
270000,0.0,0.0,0.0,2700,96,4.1701323283405145e-08,0.001
275000,0.0,0.0,0.0,2750,96,3.3104729624255924e-08,0.001
280000,0.0,0.0,0.0,2800,96,3.253624214494266e-08,0.001
285000,0.0,0.0,0.0,2850,96,8.77246986163982e-09,0.001
290000,0.0,0.0,0.0,2900,96,3.036459972349803e-08,0.001
295000,0.0,0.0,0.0,2950,96,4.4548738031835455e-08,0.001
300000,0.0,0.0,0.0,3000,96,2.603052218219659e-09,0.001
305000,0.0,0.0,0.0,3050,96,2.984121039162346e-08,0.001
310000,0.0,0.0,0.0,3100,96,1.9113031157758087e-08,0.001
315000,0.0,0.0,0.0,3150,96,1.4864257380509116e-08,0.001
320000,0.0,0.0,0.0,3200,96,1.0644718884122994e-08,0.001
325000,0.0,0.0,0.0,3250,96,1.665263127392791e-08,0.001
330000,0.0,0.0,0.0,3300,100,3.2277753803100495e-08,0.001
335000,0.0,0.0,0.0,3350,100,2.3163992945995915e-09,0.001
340000,0.0,0.0,0.0,3400,100,2.827671785610164e-08,0.001
345000,0.0,0.0,0.0,3450,100,1.230842183730374e-08,0.001
350000,0.0,0.0,0.0,3500,100,8.758698299971002e-08,0.001
355000,0.0,0.0,0.0,3550,102,6.11437389608227e-09,0.001
360000,0.0,0.0,0.0,3600,102,2.3466935061833283e-08,0.001
365000,0.0,0.0,0.0,3650,102,3.4160090311985414e-09,0.001
370000,0.0,0.0,0.0,3700,103,2.279295330254172e-08,0.001
375000,0.0,0.0,0.0,3750,103,2.022054079731106e-09,0.001
380000,0.0,0.0,0.0,3800,109,2.104532370594825e-08,0.001
385000,0.0,0.0,0.0,3850,109,1.7951795605597454e-09,0.001
390000,0.0,0.0,0.0,3900,110,3.957029548473656e-08,0.001
395000,0.0,0.0,0.0,3950,110,5.177404283074338e-09,0.001
