step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
0,0.0,0.0,0.0,0,1,,0.05,0.01,1.0
5000,0.0,0.0,0.0,50,57,1.717251961963484e-06,0.05,0.0016011127448197415,45.0
10000,0.0,0.0,0.0,100,85,4.671468900596665e-07,0.05,0.0011854457781875917,63.0
15000,0.0,0.0,0.0,150,85,1.6919844370022474e-07,0.05,0.0005741474097733949,63.0
20000,0.0,0.0,0.0,200,85,1.6990396716209943e-06,0.05,0.0005471084516261711,63.0
25000,0.0,0.0,0.0,250,85,3.2286828854921623e-07,0.05,0.00045434189366562396,64.0
30000,0.0,0.0,0.0,300,85,2.3403264037824556e-07,0.05,0.00046577219954688356,65.0
35000,0.0,0.0,0.0,350,85,2.9940639478809317e-07,0.05,0.0004395171526143645,65.0
40000,0.0,0.0,0.0,400,85,6.201355517987395e-07,0.05,0.0003645504661811632,68.0
45000,0.0,0.0,0.0,450,86,3.7283146525624034e-07,0.05,0.000519409224315851,69.0
50000,0.0,0.0,0.0,500,96,5.295165124152845e-07,0.05,0.0005997145277222924,81.0
55000,0.0,0.0,0.0,550,102,2.1392963844846236e-06,0.05,0.0003202593717295602,87.0
60000,0.0,0.0,0.0,600,103,1.2445959782780847e-06,0.05,0.0003932074052608434,90.0
65000,0.0,0.0,0.0,650,107,1.2170906984465546e-06,0.05,0.0003089661970323834,94.0
70000,0.0,0.0,0.0,700,107,1.2824149564494292e-07,0.05,0.0003026899874378311,94.0
75000,0.0,0.0,0.0,750,109,3.4215960909023124e-07,0.05,0.00037936122863133694,96.0
80000,0.0,0.0,0.0,800,109,1.0256893574478454e-06,0.05,0.0004539327099469783,96.0
85000,0.0,0.0,0.0,850,109,2.010520319117859e-07,0.05,0.00025692702531542776,96.0
90000,0.0,0.0,0.0,900,109,4.232295509609685e-07,0.05,0.00026190451161564544,96.0
95000,0.0,0.0,0.0,950,109,4.861468596573104e-07,0.05,0.0003101487878903247,97.0
100000,0.0,0.0,0.0,1000,109,2.006254590014578e-06,0.05,0.0002531686802244279,97.0
105000,0.0,0.0,0.0,1050,109,4.31805148082276e-07,0.05,0.0002515065687108621,98.0
110000,0.0,0.0,0.0,1100,109,1.894788255185631e-07,0.05,0.00024476567181087037,98.0
115000,0.0,0.0,0.0,1150,109,1.0021527430126298e-07,0.05,0.00023327913591609473,98.0
120000,0.0,0.0,0.0,1200,109,1.6245441258888604e-07,0.05,0.00030908053913805765,99.0
125000,0.0,0.0,0.0,1250,110,1.3603489890101628e-07,0.05,0.00018551325743498508,100.0
130000,0.0,0.0,0.0,1300,110,9.778925402770255e-08,0.05,0.00026034684269503653,100.0
135000,0.0,0.0,0.0,1350,110,4.7363400312860904e-07,0.05,0.00020224289436495288,100.0
140000,0.0,0.0,0.0,1400,110,9.049641676028841e-07,0.05,0.0001787501564358611,100.0
145000,0.0,0.0,0.0,1450,110,2.2586179682093643e-07,0.05,0.0003152809894438257,101.0
150000,0.0,0.0,0.0,1500,110,1.6492526810907293e-07,0.05,0.00016264557511827416,101.0
155000,0.0,0.0,0.0,1550,110,6.12457768056629e-07,0.05,0.0002110115325776703,101.0
160000,0.0,0.0,0.0,1600,110,2.5292692384937254e-07,0.05,0.00019689633828581614,101.0
165000,0.0,0.0,0.0,1650,110,2.3327581288867805e-07,0.05,0.00017428069949969237,101.0
170000,0.0,0.0,0.0,1700,110,3.00870510727691e-07,0.05,0.00018729882973015526,101.0
175000,0.0,0.0,0.0,1750,110,9.305759363087418e-08,0.05,0.00017751242254002885,101.0
180000,0.0,0.0,0.0,1800,110,8.693472608456432e-08,0.05,0.00013720407086409764,101.0
185000,0.0,0.0,0.0,1850,110,1.0908276237842074e-07,0.05,0.00019745526072737543,101.0
190000,0.0,0.0,0.0,1900,110,2.2257763987454382e-07,0.05,0.00025184027881664835,102.0
195000,0.0,0.0,0.0,1950,110,4.972850433659914e-07,0.05,0.0001771132671406667,102.0
200000,0.0,0.0,0.0,2000,110,3.1771361364008044e-07,0.05,0.000184901362124996,103.0
205000,0.0,0.0,0.0,2050,110,9.739162720734384e-08,0.05,0.00018472262784548658,103.0
210000,0.0,0.0,0.0,2100,110,3.11015924125968e-07,0.05,0.00015914507098909416,103.0
215000,0.0,0.0,0.0,2150,110,8.870786132320063e-07,0.05,0.00016192511050408206,103.0
220000,0.0,0.0,0.0,2200,110,7.783905857650097e-07,0.05,0.0001550630771703737,103.0
225000,0.0,0.0,0.0,2250,110,1.0159246244256792e-07,0.05,0.00015633163650469867,103.0
230000,0.0,0.0,0.0,2300,110,2.2325119175548025e-07,0.05,0.0001498374516857105,103.0
235000,0.0,0.0,0.0,2350,110,1.2103598123758275e-07,0.05,0.0001415978958524874,103.0
240000,0.0,0.0,0.0,2400,110,2.8145501573817455e-07,0.05,0.00013454607439395344,103.0
245000,0.0,0.0,0.0,2450,110,2.9746303198407986e-07,0.05,0.00015043701631257795,103.0
250000,0.0,0.0,0.0,2500,110,1.3408647703272436e-07,0.05,0.0001338321905427203,103.0
255000,0.0,0.0,0.0,2550,110,1.6009823866625084e-07,0.05,0.00013798989199567972,103.0
260000,0.0,0.0,0.0,2600,110,8.707428378329496e-08,0.05,0.00014093678925572271,103.0
265000,0.0,0.0,0.0,2650,110,1.3864694210496964e-06,0.05,0.00014771401248120353,103.0
270000,0.0,0.0,0.0,2700,110,9.124491384682187e-08,0.05,0.00019426812146856054,103.0
275000,0.0,0.0,0.0,2750,111,5.073907232144848e-07,0.05,0.00022917665815111525,104.0
280000,0.0,0.0,0.0,2800,111,1.1379087254681508e-06,0.05,0.0003429826626107778,104.0
285000,0.0,0.0,0.0,2850,111,1.2901539321319433e-06,0.05,0.0002456581055666577,104.0
